platform,model,impl,device,kernel,size,scenario,iter,lat_ns,e2e_ns
P1,cpp,serial,cpu,gemm,256,warm,0,2510653,2618784
P1,cpp,serial,cpu,gemm,256,warm,1,2294675,2162378
P1,cpp,serial,cpu,gemm,256,warm,2,2282183,2267764
P1,cpp,serial,cpu,gemm,256,warm,3,2143493,2188057
P1,cpp,serial,cpu,gemm,256,warm,4,2155541,2170846
P1,opencl,pocl,cpu,gemm,256,cold,0,24139266,24355787
P1,opencl,pocl,cpu,gemm,256,cold,1,24179745,24639687
P1,opencl,pocl,cpu,gemm,256,cold,2,25939064,24498501
P1,opencl,pocl,cpu,gemm,256,cold,3,24276225,24545986
P1,opencl,pocl,cpu,gemm,256,cold,4,24302486,24219436
P1,opencl,pocl,cpu,gemm,256,warm,0,24163101,24618160
P1,opencl,pocl,cpu,gemm,256,warm,1,24273216,24627998
P1,opencl,pocl,cpu,gemm,256,warm,2,24411891,27212788
P1,opencl,pocl,cpu,gemm,256,warm,3,24237840,24590453
P1,opencl,pocl,cpu,gemm,256,warm,4,24480715,24472833
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1947438,1912641
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1839481,1899098
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1855377,1883432
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1859146,1966587
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,1849376,1886358
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1647666,1628552
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1507411,1667084
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1502054,1700141
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1556371,1605659
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1520503,1609716
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1563857,1751364
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1541254,1611560
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1516443,1605626
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1506345,1622659
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1504875,1640208
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2563612,2221176
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1841673,2136693
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1827421,2118957
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1837345,2064947
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1949677,2104778
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,3168331,2162832
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1889703,2070215
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1868627,2064045
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1864499,2283348
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1931629,2088626
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4176572,4155515
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4826583,4217703
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4000055,4112943
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4011288,4162105
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4023159,4114453
P1,cpp,serial,cpu,gemm,256,warm,0,2277347,2136950
P1,cpp,serial,cpu,gemm,256,warm,1,2235941,2164826
P1,cpp,serial,cpu,gemm,256,warm,2,2246494,2189736
P1,cpp,serial,cpu,gemm,256,warm,3,2138860,2216573
P1,cpp,serial,cpu,gemm,256,warm,4,2155310,2179595
P1,opencl,pocl,cpu,gemm,256,cold,0,24364481,24169449
P1,opencl,pocl,cpu,gemm,256,cold,1,24102297,24190481
P1,opencl,pocl,cpu,gemm,256,cold,2,24208392,24285428
P1,opencl,pocl,cpu,gemm,256,cold,3,24129690,24230497
P1,opencl,pocl,cpu,gemm,256,cold,4,24335245,24449026
P1,opencl,pocl,cpu,gemm,256,warm,0,24057272,24114409
P1,opencl,pocl,cpu,gemm,256,warm,1,24282059,24275297
P1,opencl,pocl,cpu,gemm,256,warm,2,24068324,24291701
P1,opencl,pocl,cpu,gemm,256,warm,3,24106961,24172547
P1,opencl,pocl,cpu,gemm,256,warm,4,24029195,24235391
P1,opencl,intel-ocl,cpu,gemm,256,warm,0,1847023,2006474
P1,opencl,intel-ocl,cpu,gemm,256,warm,1,1833368,1989599
P1,opencl,intel-ocl,cpu,gemm,256,warm,2,1802901,1981256
P1,opencl,intel-ocl,cpu,gemm,256,warm,3,1834444,1966575
P1,opencl,intel-ocl,cpu,gemm,256,warm,4,1825246,1987079
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,0,1618013,1676111
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,1,1563186,1625717
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,2,1515082,1691603
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,3,1518774,1686181
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,4,1495321,1614656
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,0,1535858,1639191
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,1,1584761,1621430
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,2,1538030,1585806
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,3,1516995,1675878
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,4,1513085,1625997
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,0,2714285,2222996
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,1,1844446,2151801
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,2,1803921,2385308
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,3,1926020,2077517
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,4,1837731,2059873
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,0,1895681,2124014
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,1,1853823,2068933
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,2,1839745,2095450
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,3,1811417,2123008
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,4,1837933,2127595
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,0,4667351,4702203
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,1,4365692,4594588
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,2,4356974,4560910
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,3,4368612,4509117
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,4,4348154,4634072
P1,cpp,serial,cpu,gemm,256,warm,0,2296186,2204075
P1,cpp,serial,cpu,gemm,256,warm,1,2156059,2184739
P1,cpp,serial,cpu,gemm,256,warm,2,2136091,2170078
P1,cpp,serial,cpu,gemm,256,warm,3,2135540,2165277
P1,cpp,serial,cpu,gemm,256,warm,4,2231867,2186469
P1,opencl,pocl,cpu,gemm,256,cold,0,24367548,24396810
P1,opencl,pocl,cpu,gemm,256,cold,1,24729170,24210161
P1,opencl,pocl,cpu,gemm,256,cold,2,24182863,24346709
P1,opencl,pocl,cpu,gemm,256,cold,3,24123518,24374393
P1,opencl,pocl,cpu,gemm,256,cold,4,24209778,24288645
P1,opencl,pocl,cpu,gemm,256,warm,0,24155959,24216197
P1,opencl,pocl,cpu,gemm,256,warm,1,24283911,26701868
P1,opencl,pocl,cpu,gemm,256,warm,2,25719556,25230844
P1,opencl,pocl,cpu,gemm,256,warm,3,24024241,25006557
P1,opencl,pocl,cpu,gemm,256,warm,4,24242529,36625001
