platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1051250800,716983600,1482100,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,807013500,705552600,437000,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2310400,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1287104600,730709800,1303500,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,827626000,681444400,347700,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2333300,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1281070300,698657200,1199300,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,795946400,720332900,479500,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2012000,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1318362600,705005700,1351100,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,802230000,714013700,472800,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2310200,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,787872300,475684400,1202400,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,820266400,720749900,415500,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2249700,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,783483800,478632100,1185600,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,784386400,707497300,448000,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2362600,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,790463600,469376800,1554700,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,796999400,721613200,371000,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2317500,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1302238000,717491800,1541700,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,800513600,707442400,450800,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2280700,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,792312300,472661800,1220000,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,785997300,723078600,426700,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2305400,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1305140600,701637300,1456500,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,808571600,469023300,293400,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,1937100,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1012154300,719292500,1650300,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,811970200,712312300,409500,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2189600,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,804128000,472943500,1294500,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,863174500,726732900,375100,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2273400,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,ovh,1299866800,41761299700,3577100,4.415e-04
P2,opencl,amd-ocl,gpu,null,1,ovh,1299325800,562488300,238900,-1.000e+00
P2,cpp,serial,cpu,gemm,256,ovh,0,0,2877700,0.000e+00
