platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P2,cpp,serial,cpu,gemm,256,iso,0,0,2418900,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,iso,867463600,524113800,1308700,4.415e-04
P2,cpp,openmp,cpu,gemm,256,all,0,0,1224300,0.000e+00
P2,cpp,serial,cpu,gemm,512,iso,0,0,9335300,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,512,iso,872097900,519391900,5407100,8.779e-04
P2,cpp,openmp,cpu,gemm,512,all,0,0,4185800,0.000e+00
P2,cpp,serial,cpu,conv,512,iso,0,0,4731000,0.000e+00
P2,opencl,amd-ocl,gpu,conv,512,iso,1360297500,717387300,1803200,0.000e+00
P2,cpp,openmp,cpu,conv,512,all,0,0,1967900,0.000e+00
P2,cpp,serial,cpu,conv,1024,iso,0,0,18006700,0.000e+00
P2,opencl,amd-ocl,gpu,conv,1024,iso,1310894500,681251000,2991300,0.000e+00
P2,cpp,openmp,cpu,conv,1024,all,0,0,4862000,0.000e+00
P2,cpp,serial,cpu,kalman,4096,iso,0,0,739600,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,4096,iso,1350871100,698013000,1107900,2.746e-05
P2,cpp,openmp,cpu,kalman,4096,all,0,0,891600,0.000e+00
P2,cpp,serial,cpu,kalman,32768,iso,0,0,4423000,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,32768,iso,808783100,496203300,1871000,2.746e-05
P2,cpp,openmp,cpu,kalman,32768,all,0,0,1766700,0.000e+00
P2,opencl,amd-ocl,gpu,null,1,iso,1338483100,700380200,374900,-1.000e+00
P2,cpp,serial,cpu,gemm,256,intf,0,0,2732800,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,intf,2471138800,1351377300,2342700,4.415e-04
P2,cpp,serial,cpu,gemm,512,intf,0,0,11414100,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,512,intf,2372876500,1241161000,7476200,8.779e-04
P2,cpp,serial,cpu,conv,512,intf,0,0,5612500,0.000e+00
P2,opencl,amd-ocl,gpu,conv,512,intf,2407488900,1304077600,2185200,0.000e+00
P2,cpp,serial,cpu,conv,1024,intf,0,0,25083800,0.000e+00
P2,opencl,amd-ocl,gpu,conv,1024,intf,2550286000,1261507800,15763300,0.000e+00
P2,cpp,serial,cpu,kalman,4096,intf,0,0,837100,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,4096,intf,2390490000,1266675500,1539000,2.746e-05
P2,cpp,serial,cpu,kalman,32768,intf,0,0,4811800,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,32768,intf,2334187500,1305593400,2151600,2.746e-05
P2,opencl,amd-ocl,gpu,null,1,intf,2277285400,1278685200,1018500,-1.000e+00
