platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P2,cpp,serial,cpu,gemm,256,iso,0,0,1979000,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,iso,957264700,508656900,1354800,4.415e-04
P2,cpp,openmp,cpu,gemm,256,all,0,0,1021700,0.000e+00
P2,cpp,serial,cpu,gemm,512,iso,0,0,9484300,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,512,iso,921088200,542491700,5151500,8.779e-04
P2,cpp,openmp,cpu,gemm,512,all,0,0,3672900,0.000e+00
P2,cpp,serial,cpu,conv,512,iso,0,0,5044600,0.000e+00
P2,opencl,amd-ocl,gpu,conv,512,iso,912352900,541150000,2143800,0.000e+00
P2,cpp,openmp,cpu,conv,512,all,0,0,2053300,0.000e+00
P2,cpp,serial,cpu,conv,1024,iso,0,0,17498200,0.000e+00
P2,opencl,amd-ocl,gpu,conv,1024,iso,874586600,571117500,3424200,0.000e+00
P2,cpp,openmp,cpu,conv,1024,all,0,0,5484600,0.000e+00
P2,cpp,serial,cpu,kalman,4096,iso,0,0,1053700,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,4096,iso,856018800,543775400,1033400,2.746e-05
P2,cpp,openmp,cpu,kalman,4096,all,0,0,908400,0.000e+00
P2,cpp,serial,cpu,kalman,32768,iso,0,0,4597400,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,32768,iso,836654700,576738100,1978300,2.746e-05
P2,cpp,openmp,cpu,kalman,32768,all,0,0,2120300,0.000e+00
P2,opencl,amd-ocl,gpu,null,1,iso,904248100,521579400,244800,-1.000e+00
P2,cpp,serial,cpu,gemm,256,intf,0,0,2655400,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,intf,3762645500,1779548400,4056400,4.415e-04
P2,cpp,serial,cpu,gemm,512,intf,0,0,20527100,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,512,intf,2727067700,1543250700,9808200,8.779e-04
P2,cpp,serial,cpu,conv,512,intf,0,0,5792400,0.000e+00
P2,opencl,amd-ocl,gpu,conv,512,intf,2833066200,1509869100,1909100,0.000e+00
P2,cpp,serial,cpu,conv,1024,intf,0,0,20593600,0.000e+00
P2,opencl,amd-ocl,gpu,conv,1024,intf,3913867000,1541655600,6642300,0.000e+00
P2,cpp,serial,cpu,kalman,4096,intf,0,0,1142500,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,4096,intf,2578988300,1511378500,1417900,2.746e-05
P2,cpp,serial,cpu,kalman,32768,intf,0,0,5559700,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,32768,intf,3119913800,1648202700,2602300,2.746e-05
P2,opencl,amd-ocl,gpu,null,1,intf,2926649100,1583144300,893200,-1.000e+00
