latency_us ecdf
9320.40 0.00333
9423.10 0.00667
9424.20 0.01000
9429.10 0.01333
9448.60 0.01667
9487.90 0.02000
9489.40 0.02333
9496.20 0.02667
9507.60 0.03000
9526.40 0.03333
9569.30 0.03667
9601.50 0.04000
9610.60 0.04333
9623.60 0.04667
9626.10 0.05000
9630.60 0.05333
9634.00 0.05667
9650.10 0.06000
9656.80 0.06333
9657.10 0.06667
9659.90 0.07000
9661.40 0.07333
9662.80 0.07667
9664.60 0.08000
9665.60 0.08333
9666.00 0.08667
9669.60 0.09000
9676.10 0.09333
9678.80 0.09667
9681.60 0.10000
9695.80 0.10333
9702.80 0.10667
9713.20 0.11000
9719.70 0.11333
9721.70 0.11667
9729.50 0.12000
9732.10 0.12333
9735.20 0.12667
9735.90 0.13000
9744.00 0.13333
9745.20 0.13667
9746.50 0.14000
9749.10 0.14333
9752.50 0.14667
9752.90 0.15000
9755.90 0.15333
9762.10 0.15667
9764.90 0.16000
9764.90 0.16333
9768.20 0.16667
9768.50 0.17000
9770.00 0.17333
9774.10 0.17667
9781.40 0.18000
9782.20 0.18333
9784.60 0.18667
9784.80 0.19000
9784.80 0.19333
9785.70 0.19667
9789.10 0.20000
9790.20 0.20333
9791.40 0.20667
9793.80 0.21000
9802.50 0.21333
9804.70 0.21667
9809.70 0.22000
9811.90 0.22333
9813.20 0.22667
9815.60 0.23000
9815.80 0.23333
9816.10 0.23667
9818.60 0.24000
9819.60 0.24333
9820.30 0.24667
9821.20 0.25000
9821.30 0.25333
9828.80 0.25667
9833.50 0.26000
9834.30 0.26333
9834.70 0.26667
9843.70 0.27000
9844.20 0.27333
9847.80 0.27667
9847.90 0.28000
9850.30 0.28333
9851.40 0.28667
9854.40 0.29000
9854.50 0.29333
9855.20 0.29667
9863.50 0.30000
9863.60 0.30333
9869.00 0.30667
9869.40 0.31000
9871.90 0.31333
9878.90 0.31667
9881.00 0.32000
9881.80 0.32333
9882.00 0.32667
9882.70 0.33000
9888.00 0.33333
9888.40 0.33667
9889.80 0.34000
9891.50 0.34333
9893.30 0.34667
9894.50 0.35000
9895.60 0.35333
9896.70 0.35667
9897.90 0.36000
9898.20 0.36333
9904.20 0.36667
9904.50 0.37000
9906.10 0.37333
9913.60 0.37667
9918.50 0.38000
9922.10 0.38333
9925.50 0.38667
9928.80 0.39000
9931.80 0.39333
9933.20 0.39667
9937.10 0.40000
9937.80 0.40333
9938.40 0.40667
9938.60 0.41000
9941.10 0.41333
9943.00 0.41667
9944.00 0.42000
9944.40 0.42333
9950.90 0.42667
9952.10 0.43000
9953.70 0.43333
9962.50 0.43667
9964.70 0.44000
9968.00 0.44333
9973.50 0.44667
9976.00 0.45000
9979.70 0.45333
9983.70 0.45667
9996.90 0.46000
9997.00 0.46333
9998.00 0.46667
9999.40 0.47000
9999.70 0.47333
10000.50 0.47667
10001.00 0.48000
10014.40 0.48333
10016.70 0.48667
10017.70 0.49000
10021.50 0.49333
10022.40 0.49667
10023.00 0.50000
10024.20 0.50333
10028.40 0.50667
10028.90 0.51000
10029.30 0.51333
10029.80 0.51667
10029.80 0.52000
10030.60 0.52333
10033.30 0.52667
10036.80 0.53000
10037.90 0.53333
10043.00 0.53667
10046.00 0.54000
10050.20 0.54333
10050.80 0.54667
