latency_us ecdf
4539.30 0.00333
4544.70 0.00667
4545.40 0.01000
4545.80 0.01333
4549.20 0.01667
4550.50 0.02000
4551.10 0.02333
4551.60 0.02667
4552.20 0.03000
4557.30 0.03333
4557.50 0.03667
4557.90 0.04000
4558.60 0.04333
4559.00 0.04667
4560.20 0.05000
4560.30 0.05333
4561.20 0.05667
4561.30 0.06000
4561.80 0.06333
4563.80 0.06667
4565.40 0.07000
4566.70 0.07333
4567.00 0.07667
4567.80 0.08000
4567.90 0.08333
4571.30 0.08667
4571.50 0.09000
4572.50 0.09333
4573.70 0.09667
4573.90 0.10000
4574.70 0.10333
4576.70 0.10667
4577.10 0.11000
4577.60 0.11333
4578.40 0.11667
4578.90 0.12000
4579.80 0.12333
4579.80 0.12667
4580.20 0.13000
4581.00 0.13333
4581.00 0.13667
4582.60 0.14000
4584.60 0.14333
4584.70 0.14667
4585.30 0.15000
4585.60 0.15333
4585.90 0.15667
4587.20 0.16000
4587.80 0.16333
4588.60 0.16667
4590.00 0.17000
4593.10 0.17333
4593.80 0.17667
4594.10 0.18000
4594.20 0.18333
4594.60 0.18667
4598.40 0.19000
4599.40 0.19333
4600.00 0.19667
4600.30 0.20000
4601.50 0.20333
4602.10 0.20667
4603.80 0.21000
4603.90 0.21333
4607.90 0.21667
4608.50 0.22000
4610.20 0.22333
4610.90 0.22667
4611.90 0.23000
4619.30 0.23333
4621.70 0.23667
4622.10 0.24000
4623.90 0.24333
4628.60 0.24667
4630.50 0.25000
4630.50 0.25333
4631.90 0.25667
4634.00 0.26000
4636.40 0.26333
4639.20 0.26667
4640.40 0.27000
4641.90 0.27333
4642.60 0.27667
4644.70 0.28000
4648.40 0.28333
4650.10 0.28667
4651.10 0.29000
4652.70 0.29333
4654.20 0.29667
4658.30 0.30000
4658.50 0.30333
4659.30 0.30667
4659.90 0.31000
4660.10 0.31333
4660.10 0.31667
4660.80 0.32000
4661.30 0.32333
4663.10 0.32667
4665.00 0.33000
4666.10 0.33333
4669.40 0.33667
4680.80 0.34000
4685.60 0.34333
4686.50 0.34667
4688.80 0.35000
4688.90 0.35333
4718.20 0.35667
4726.20 0.36000
4734.60 0.36333
4746.70 0.36667
4751.90 0.37000
4753.20 0.37333
4764.10 0.37667
4844.10 0.38000
4892.70 0.38333
4893.90 0.38667
4898.70 0.39000
4899.60 0.39333
4904.70 0.39667
4907.50 0.40000
4909.30 0.40333
4910.30 0.40667
4910.60 0.41000
4917.30 0.41333
4917.70 0.41667
4917.90 0.42000
4918.50 0.42333
4919.60 0.42667
4919.60 0.43000
4919.80 0.43333
4921.30 0.43667
4921.30 0.44000
4921.40 0.44333
4921.50 0.44667
4924.80 0.45000
4925.90 0.45333
4926.00 0.45667
4926.60 0.46000
4926.60 0.46333
4926.80 0.46667
4929.10 0.47000
4929.60 0.47333
4931.70 0.47667
4932.20 0.48000
4932.80 0.48333
4934.40 0.48667
4939.40 0.49000
4942.80 0.49333
4943.70 0.49667
4944.20 0.50000
4944.70 0.50333
4944.70 0.50667
4947.40 0.51000
4949.90 0.51333
4950.00 0.51667
4950.10 0.52000
4950.30 0.52333
4950.50 0.52667
4950.70 0.53000
4951.30 0.53333
4951.90 0.53667
4953.50 0.54000
4955.10 0.54333
4958.10 0.54667
4958.10 0.55000
4958.20 0.55333
4958.40 0.55667
4959.90 0.56000
4959.90 0.56333
4960.20 0.56667
4960.60 0.57000
4963.40 0.57333
4964.80 0.57667
4969.60 0.58000
4970.10 0.58333
4971.30 0.58667
4974.30 0.59000
4975.50 0.59333
4975.70 0.59667
4976.30 0.60000
4977.20 0.60333
4977.30 0.60667
4977.70 0.61000
4986.50 0.61333
4987.10 0.61667
4987.30 0.62000
4989.30 0.62333
4991.20 0.62667
4993.50 0.63000
4999.50 0.63333
5002.50 0.63667
5002.60 0.64000
5002.70 0.64333
5004.20 0.64667
5004.80 0.65000
5005.70 0.65333
5006.60 0.65667
5008.00 0.66000
5008.60 0.66333
5008.80 0.66667
5010.80 0.67000
5011.90 0.67333
5014.50 0.67667
5014.80 0.68000
5015.00 0.68333
5016.40 0.68667
5018.00 0.69000
5018.40 0.69333
5020.30 0.69667
5020.80 0.70000
5021.90 0.70333
5023.20 0.70667
5028.20 0.71000
5028.30 0.71333
5028.70 0.71667
5029.00 0.72000
5030.40 0.72333
5030.50 0.72667
5036.40 0.73000
5038.20 0.73333
5038.30 0.73667
5039.30 0.74000
5039.70 0.74333
5041.60 0.74667
5042.40 0.75000
5045.20 0.75333
5048.00 0.75667
5053.70 0.76000
5056.40 0.76333
5056.40 0.76667
5057.80 0.77000
5062.00 0.77333
5063.10 0.77667
5064.40 0.78000
5067.60 0.78333
5068.00 0.78667
5070.90 0.79000
5071.30 0.79333
5076.40 0.79667
5076.60 0.80000
5077.90 0.80333
5078.10 0.80667
5085.90 0.81000
5090.80 0.81333
5091.80 0.81667
5105.60 0.82000
5106.50 0.82333
5109.00 0.82667
5110.80 0.83000
5122.30 0.83333
5123.30 0.83667
5123.40 0.84000
5124.10 0.84333
5128.50 0.84667
5135.20 0.85000
5142.00 0.85333
5142.50 0.85667
5145.30 0.86000
5145.70 0.86333
5146.30 0.86667
5146.30 0.87000
5147.30 0.87333
5149.10 0.87667
5156.20 0.88000
5182.00 0.88333
5182.80 0.88667
5196.40 0.89000
5197.50 0.89333
5198.50 0.89667
5200.10 0.90000
5207.80 0.90333
5212.00 0.90667
5213.20 0.91000
5220.00 0.91333
5238.30 0.91667
5239.30 0.92000
5265.50 0.92333
5266.10 0.92667
5273.70 0.93000
5310.50 0.93333
5327.30 0.93667
5335.30 0.94000
5343.70 0.94333
5346.10 0.94667
5406.30 0.95000
5489.90 0.95333
5525.30 0.95667
5539.30 0.96000
5599.50 0.96333
5643.40 0.96667
5657.50 0.97000
5946.10 0.97333
6154.40 0.97667
6181.60 0.98000
6638.60 0.98333
6754.60 0.98667
6916.70 0.99000
9746.40 0.99333
10285.50 0.99667
12043.10 1.00000
