latency_us ecdf
2090.10 0.00200
2106.50 0.00400
2139.30 0.00600
2143.00 0.00800
2176.10 0.01000
2193.10 0.01200
2194.90 0.01400
2196.20 0.01600
2196.50 0.01800
2199.30 0.02000
2203.80 0.02200
2204.40 0.02400
2207.60 0.02600
2208.20 0.02800
2211.10 0.03000
2214.90 0.03200
2215.90 0.03400
2222.40 0.03600
2222.50 0.03800
2222.70 0.04000
2223.10 0.04200
2223.50 0.04400
2224.50 0.04600
2228.10 0.04800
2232.00 0.05000
2232.10 0.05200
2234.20 0.05400
2236.70 0.05600
2237.00 0.05800
2237.10 0.06000
2237.90 0.06200
2238.60 0.06400
2240.50 0.06600
2241.60 0.06800
2242.50 0.07000
2243.60 0.07200
2246.20 0.07400
2246.40 0.07600
2246.40 0.07800
2246.80 0.08000
2248.40 0.08200
2249.70 0.08400
2251.50 0.08600
2251.70 0.08800
2252.40 0.09000
2252.60 0.09200
2253.30 0.09400
2253.60 0.09600
2255.70 0.09800
2255.80 0.10000
2261.10 0.10200
2262.00 0.10400
2263.40 0.10600
2263.50 0.10800
2264.30 0.11000
2264.40 0.11200
2264.60 0.11400
2265.00 0.11600
2265.10 0.11800
2265.30 0.12000
2266.50 0.12200
2267.30 0.12400
2267.60 0.12600
2268.50 0.12800
2268.70 0.13000
2268.90 0.13200
2273.50 0.13400
2274.30 0.13600
2274.40 0.13800
2274.90 0.14000
2275.60 0.14200
2275.80 0.14400
2277.70 0.14600
2277.80 0.14800
2278.80 0.15000
2279.40 0.15200
2279.80 0.15400
2280.50 0.15600
2281.10 0.15800
2281.30 0.16000
2281.30 0.16200
2281.50 0.16400
2284.20 0.16600
2284.20 0.16800
2286.40 0.17000
2288.20 0.17200
2289.00 0.17400
2291.10 0.17600
2293.60 0.17800
2294.40 0.18000
2295.10 0.18200
2296.50 0.18400
2297.60 0.18600
2297.90 0.18800
2298.00 0.19000
2298.50 0.19200
2300.00 0.19400
2300.60 0.19600
2300.80 0.19800
2301.00 0.20000
2301.90 0.20200
2302.80 0.20400
2304.10 0.20600
2304.20 0.20800
2304.60 0.21000
2304.70 0.21200
2306.70 0.21400
2306.80 0.21600
2306.90 0.21800
2307.20 0.22000
2307.90 0.22200
2308.30 0.22400
2308.80 0.22600
2310.40 0.22800
2311.30 0.23000
2311.80 0.23200
2312.00 0.23400
2312.50 0.23600
2313.50 0.23800
2314.30 0.24000
2314.40 0.24200
2315.30 0.24400
2315.90 0.24600
2316.00 0.24800
2316.10 0.25000
2316.70 0.25200
2316.80 0.25400
2317.30 0.25600
2318.60 0.25800
2319.10 0.26000
