latency_us ecdf
1428.40 0.00200
1440.80 0.00400
1469.80 0.00600
1480.80 0.00800
1487.70 0.01000
1494.70 0.01200
1498.70 0.01400
1500.30 0.01600
1505.60 0.01800
1514.50 0.02000
1514.80 0.02200
1526.10 0.02400
1530.60 0.02600
1530.60 0.02800
1531.90 0.03000
1537.10 0.03200
1537.90 0.03400
1539.10 0.03600
1539.80 0.03800
1545.70 0.04000
1547.60 0.04200
1549.40 0.04400
1549.90 0.04600
1550.40 0.04800
1550.80 0.05000
1551.60 0.05200
1551.80 0.05400
1553.20 0.05600
1554.30 0.05800
1554.40 0.06000
1554.60 0.06200
1554.80 0.06400
1558.10 0.06600
1558.20 0.06800
1559.50 0.07000
1559.70 0.07200
1562.00 0.07400
1562.30 0.07600
1562.80 0.07800
1563.90 0.08000
1564.60 0.08200
1565.40 0.08400
1565.80 0.08600
1569.20 0.08800
1570.10 0.09000
1571.50 0.09200
1572.00 0.09400
1573.10 0.09600
1573.70 0.09800
1573.90 0.10000
1576.20 0.10200
1576.20 0.10400
1576.30 0.10600
1577.00 0.10800
1577.20 0.11000
1577.50 0.11200
1577.70 0.11400
1578.10 0.11600
1578.40 0.11800
1578.60 0.12000
1579.90 0.12200
1580.40 0.12400
1581.10 0.12600
1581.10 0.12800
1581.10 0.13000
1581.50 0.13200
1581.90 0.13400
1583.80 0.13600
1584.30 0.13800
1584.70 0.14000
1584.90 0.14200
1585.90 0.14400
1586.00 0.14600
1586.00 0.14800
1586.10 0.15000
1586.10 0.15200
1587.10 0.15400
1587.70 0.15600
1587.80 0.15800
1588.00 0.16000
1588.00 0.16200
1588.20 0.16400
1588.30 0.16600
1589.70 0.16800
1590.20 0.17000
1590.30 0.17200
1590.40 0.17400
1590.80 0.17600
1590.80 0.17800
1592.90 0.18000
1593.90 0.18200
1594.80 0.18400
1596.70 0.18600
1596.70 0.18800
1597.00 0.19000
1597.10 0.19200
1598.20 0.19400
1599.20 0.19600
1599.80 0.19800
1600.70 0.20000
1600.70 0.20200
1600.80 0.20400
1602.30 0.20600
1602.70 0.20800
1603.20 0.21000
1603.20 0.21200
1603.20 0.21400
1603.60 0.21600
1603.90 0.21800
1603.90 0.22000
1604.70 0.22200
1604.80 0.22400
1605.10 0.22600
1605.20 0.22800
1606.30 0.23000
1606.80 0.23200
1607.20 0.23400
1608.30 0.23600
1610.60 0.23800
1611.00 0.24000
1612.30 0.24200
1613.90 0.24400
1614.60 0.24600
1615.20 0.24800
1615.30 0.25000
1615.90 0.25200
1616.00 0.25400
1617.10 0.25600
1617.50 0.25800
1617.60 0.26000
1619.00 0.26200
1619.10 0.26400
1619.30 0.26600
1620.80 0.26800
1620.90 0.27000
1620.90 0.27200
1623.30 0.27400
1624.20 0.27600
1624.20 0.27800
1624.40 0.28000
1626.00 0.28200
1626.90 0.28400
1628.00 0.28600
1628.20 0.28800
1628.30 0.29000
1628.60 0.29200
1628.60 0.29400
1628.80 0.29600
1629.40 0.29800
1629.40 0.30000
1629.80 0.30200
1630.40 0.30400
1630.60 0.30600
1630.70 0.30800
1631.10 0.31000
1631.30 0.31200
1631.50 0.31400
1631.60 0.31600
1634.40 0.31800
1635.30 0.32000
1635.40 0.32200
1635.50 0.32400
1635.90 0.32600
1636.00 0.32800
1636.10 0.33000
1636.30 0.33200
1637.30 0.33400
1637.50 0.33600
1638.30 0.33800
1638.50 0.34000
1638.70 0.34200
1639.30 0.34400
1639.80 0.34600
1639.80 0.34800
1640.40 0.35000
1640.50 0.35200
1640.50 0.35400
1640.60 0.35600
1641.40 0.35800
1642.00 0.36000
1642.60 0.36200
1643.50 0.36400
1643.50 0.36600
1643.70 0.36800
1644.80 0.37000
1644.90 0.37200
1645.40 0.37400
1645.80 0.37600
1647.50 0.37800
1647.70 0.38000
1647.80 0.38200
1648.40 0.38400
1648.50 0.38600
1648.90 0.38800
1649.70 0.39000
1650.30 0.39200
1650.80 0.39400
1651.50 0.39600
1652.60 0.39800
1653.20 0.40000
1653.60 0.40200
1653.90 0.40400
1654.90 0.40600
1655.00 0.40800
1655.40 0.41000
1655.90 0.41200
1656.30 0.41400
1657.00 0.41600
1657.80 0.41800
1658.30 0.42000
1658.30 0.42200
1658.50 0.42400
1658.70 0.42600
