latency_us exceedance
1792.23 9.990010e-01
1801.00 9.980020e-01
1801.22 9.970030e-01
1801.79 9.960040e-01
1802.00 9.950050e-01
1802.77 9.940060e-01
1802.81 9.930070e-01
1802.84 9.920080e-01
1803.82 9.910090e-01
1804.09 9.900100e-01
1804.23 9.890110e-01
1804.24 9.880120e-01
1804.35 9.870130e-01
1804.41 9.860140e-01
1804.57 9.850150e-01
1804.94 9.840160e-01
1806.72 9.830170e-01
1806.80 9.820180e-01
1807.43 9.810190e-01
1808.70 9.800200e-01
1808.75 9.790210e-01
1809.04 9.780220e-01
1809.11 9.770230e-01
1810.38 9.760240e-01
1811.45 9.750250e-01
1812.32 9.740260e-01
1812.33 9.730270e-01
1812.38 9.720280e-01
1813.03 9.710290e-01
1813.22 9.700300e-01
1813.42 9.690310e-01
1813.47 9.680320e-01
1813.52 9.670330e-01
1813.58 9.660340e-01
1813.74 9.650350e-01
1816.25 9.640360e-01
1816.84 9.630370e-01
1817.60 9.620380e-01
1817.99 9.610390e-01
1818.04 9.600400e-01
1818.36 9.590410e-01
1818.91 9.580420e-01
1819.20 9.570430e-01
1819.25 9.560440e-01
1819.58 9.550450e-01
1820.12 9.540460e-01
1820.19 9.530470e-01
1820.55 9.520480e-01
1820.75 9.510490e-01
1822.52 9.500500e-01
1822.58 9.490509e-01
1822.65 9.480519e-01
1822.65 9.470529e-01
1822.78 9.460539e-01
1822.80 9.450549e-01
1822.96 9.440559e-01
1823.06 9.430569e-01
1823.13 9.420579e-01
1823.19 9.410589e-01
1823.21 9.400599e-01
1823.47 9.390609e-01
1823.86 9.380619e-01
1823.93 9.370629e-01
1824.04 9.360639e-01
1824.05 9.350649e-01
1824.13 9.340659e-01
1824.19 9.330669e-01
1824.21 9.320679e-01
1824.24 9.310689e-01
1824.45 9.300699e-01
1824.56 9.290709e-01
1824.79 9.280719e-01
1824.94 9.270729e-01
1824.99 9.260739e-01
1825.09 9.250749e-01
1825.18 9.240759e-01
1825.31 9.230769e-01
1825.34 9.220779e-01
1825.41 9.210789e-01
1825.42 9.200799e-01
1825.45 9.190809e-01
1825.49 9.180819e-01
1825.50 9.170829e-01
1825.50 9.160839e-01
1825.58 9.150849e-01
1825.61 9.140859e-01
1825.64 9.130869e-01
