latency_us exceedance
1794.98 9.990010e-01
1794.98 9.980020e-01
1796.15 9.970030e-01
1796.42 9.960040e-01
1796.83 9.950050e-01
1797.70 9.940060e-01
1798.50 9.930070e-01
1799.64 9.920080e-01
1799.81 9.910090e-01
1800.08 9.900100e-01
1800.77 9.890110e-01
1800.99 9.880120e-01
1801.27 9.870130e-01
1801.32 9.860140e-01
1801.52 9.850150e-01
1802.20 9.840160e-01
1802.67 9.830170e-01
1802.77 9.820180e-01
1802.97 9.810190e-01
1803.15 9.800200e-01
1803.16 9.790210e-01
1803.38 9.780220e-01
1803.86 9.770230e-01
1803.93 9.760240e-01
1804.72 9.750250e-01
1804.94 9.740260e-01
1805.14 9.730270e-01
1805.42 9.720280e-01
1805.62 9.710290e-01
1806.07 9.700300e-01
1806.56 9.690310e-01
1807.52 9.680320e-01
1808.27 9.670330e-01
1808.28 9.660340e-01
1809.27 9.650350e-01
1809.84 9.640360e-01
1810.05 9.630370e-01
1810.09 9.620380e-01
1810.86 9.610390e-01
1810.97 9.600400e-01
1811.05 9.590410e-01
1811.39 9.580420e-01
1811.43 9.570430e-01
1811.97 9.560440e-01
1811.98 9.550450e-01
1812.31 9.540460e-01
1812.55 9.530470e-01
1814.12 9.520480e-01
1814.28 9.510490e-01
1814.33 9.500500e-01
1814.90 9.490509e-01
1815.08 9.480519e-01
1815.70 9.470529e-01
1816.39 9.460539e-01
1816.65 9.450549e-01
1816.70 9.440559e-01
1817.11 9.430569e-01
1817.56 9.420579e-01
1817.86 9.410589e-01
1817.89 9.400599e-01
1818.46 9.390609e-01
1818.49 9.380619e-01
1818.54 9.370629e-01
1818.66 9.360639e-01
1819.38 9.350649e-01
1819.52 9.340659e-01
1819.68 9.330669e-01
1820.09 9.320679e-01
1820.10 9.310689e-01
1820.20 9.300699e-01
1820.41 9.290709e-01
1820.56 9.280719e-01
1820.87 9.270729e-01
1820.91 9.260739e-01
1821.05 9.250749e-01
1821.25 9.240759e-01
1821.28 9.230769e-01
1821.28 9.220779e-01
1821.53 9.210789e-01
1821.61 9.200799e-01
1821.66 9.190809e-01
1821.69 9.180819e-01
1821.71 9.170829e-01
1821.77 9.160839e-01
1821.94 9.150849e-01
1822.01 9.140859e-01
1822.27 9.130869e-01
1822.45 9.120879e-01
1822.87 9.110889e-01
1822.89 9.100899e-01
1822.92 9.090909e-01
1823.11 9.080919e-01
1823.36 9.070929e-01
1823.41 9.060939e-01
1823.50 9.050949e-01
1823.55 9.040959e-01
1823.65 9.030969e-01
1823.70 9.020979e-01
1823.83 9.010989e-01
1823.91 9.000999e-01
1823.93 8.991009e-01
1824.03 8.981019e-01
1824.11 8.971029e-01
1824.18 8.961039e-01
1824.27 8.951049e-01
1824.42 8.941059e-01
1824.52 8.931069e-01
1824.52 8.921079e-01
1824.63 8.911089e-01
1824.76 8.901099e-01
1824.80 8.891109e-01
1824.80 8.881119e-01
1824.81 8.871129e-01
1824.88 8.861139e-01
1825.14 8.851149e-01
1825.22 8.841159e-01
1825.32 8.831169e-01
1825.63 8.821179e-01
1825.69 8.811189e-01
1825.76 8.801199e-01
1825.78 8.791209e-01
1825.91 8.781219e-01
1825.94 8.771229e-01
1825.96 8.761239e-01
1826.28 8.751249e-01
1826.30 8.741259e-01
1826.31 8.731269e-01
1826.33 8.721279e-01
1826.41 8.711289e-01
1826.45 8.701299e-01
1826.61 8.691309e-01
1826.87 8.681319e-01
1826.88 8.671329e-01
1826.94 8.661339e-01
1827.04 8.651349e-01
1827.06 8.641359e-01
1827.08 8.631369e-01
1827.19 8.621379e-01
1827.23 8.611389e-01
1827.34 8.601399e-01
1827.43 8.591409e-01
1827.49 8.581419e-01
1827.52 8.571429e-01
1827.73 8.561439e-01
1827.95 8.551449e-01
1828.17 8.541459e-01
1828.36 8.531469e-01
1828.41 8.521479e-01
1828.45 8.511489e-01
1828.46 8.501499e-01
1828.68 8.491508e-01
1828.78 8.481518e-01
1828.86 8.471528e-01
1828.94 8.461538e-01
1828.97 8.451548e-01
1829.15 8.441558e-01
1829.26 8.431568e-01
1829.26 8.421578e-01
1829.45 8.411588e-01
1829.45 8.401598e-01
1829.56 8.391608e-01
1829.60 8.381618e-01
1829.68 8.371628e-01
1829.73 8.361638e-01
1829.91 8.351648e-01
1829.96 8.341658e-01
1830.03 8.331668e-01
1830.13 8.321678e-01
1830.26 8.311688e-01
1830.28 8.301698e-01
1830.36 8.291708e-01
1830.40 8.281718e-01
1830.48 8.271728e-01
1830.53 8.261738e-01
1830.54 8.251748e-01
1830.54 8.241758e-01
1830.56 8.231768e-01
1830.61 8.221778e-01
1831.45 8.211788e-01
1831.85 8.201798e-01
1832.13 8.191808e-01
1832.18 8.181818e-01
1832.19 8.171828e-01
1832.27 8.161838e-01
1832.34 8.151848e-01
1832.41 8.141858e-01
1832.49 8.131868e-01
1832.54 8.121878e-01
1832.63 8.111888e-01
