latency_us exceedance
2204.37 1.000000e-01
2225.58 9.480740e-02
2246.99 8.983605e-02
2268.61 8.507908e-02
2290.44 8.052972e-02
2312.47 7.618127e-02
2334.72 7.202717e-02
2357.19 6.806096e-02
2379.87 6.427627e-02
2402.77 6.066687e-02
2425.88 5.722661e-02
2449.23 5.394949e-02
2472.79 5.082962e-02
2496.58 4.786121e-02
2520.60 4.503862e-02
2544.86 4.235631e-02
2569.34 3.980889e-02
2594.06 3.739108e-02
2619.02 3.509771e-02
2644.22 3.292378e-02
2669.66 3.086438e-02
2695.35 2.891475e-02
2721.28 2.707024e-02
2747.47 2.532635e-02
2773.90 2.367868e-02
2800.59 2.212300e-02
2827.54 2.065516e-02
2854.74 1.927117e-02
2882.21 1.796715e-02
2909.94 1.673935e-02
2937.94 1.558414e-02
2966.21 1.449801e-02
2994.75 1.347758e-02
3023.56 1.251958e-02
3052.65 1.162087e-02
3082.02 1.077841e-02
3111.68 9.989283e-03
3141.62 9.250686e-03
3171.85 8.559921e-03
3202.36 7.914399e-03
3233.18 7.311639e-03
3264.28 6.749262e-03
3295.69 6.224989e-03
3327.40 5.736641e-03
3359.42 5.282136e-03
3391.74 4.859485e-03
3424.37 4.466789e-03
3457.32 4.102241e-03
3490.59 3.764116e-03
3524.17 3.450776e-03
3558.08 3.160663e-03
3592.31 2.892296e-03
3626.88 2.644272e-03
3661.77 2.415259e-03
3697.01 2.203998e-03
3732.58 2.009294e-03
3768.49 1.830023e-03
3804.75 1.665118e-03
3841.36 1.513577e-03
3878.32 1.374453e-03
3915.63 1.246857e-03
3953.31 1.129950e-03
3991.35 1.022947e-03
4029.75 9.251096e-04
4068.52 8.357451e-04
4107.67 7.542062e-04
4147.19 6.798868e-04
4187.09 6.122207e-04
4227.38 5.506794e-04
4268.05 4.947702e-04
4309.12 4.440343e-04
4350.58 3.980449e-04
4392.44 3.564056e-04
4434.70 3.187484e-04
4477.37 2.847322e-04
4520.45 2.540413e-04
4563.94 2.263837e-04
4607.86 2.014898e-04
4652.19 1.791107e-04
4696.95 1.590173e-04
4742.15 1.409987e-04
4787.77 1.248612e-04
4833.84 1.104269e-04
4880.35 9.753274e-05
4927.31 8.602951e-05
4974.71 7.578079e-05
5022.58 6.666202e-05
5070.90 5.855965e-05
5119.69 5.137028e-05
5168.95 4.499992e-05
5218.69 3.936320e-05
5268.90 3.438274e-05
5319.60 2.998848e-05
5370.78 2.611709e-05
5422.45 2.271138e-05
5474.63 1.971981e-05
5527.30 1.709601e-05
5580.48 1.479827e-05
5634.18 1.278921e-05
5688.39 1.103530e-05
5743.12 9.506574e-06
5798.38 8.176261e-06
5854.17 7.020493e-06
5910.49 6.018021e-06
5967.36 5.149963e-06
6024.78 4.399564e-06
6082.74 3.751986e-06
6141.27 3.194105e-06
6200.36 2.714340e-06
6260.02 2.302484e-06
6320.25 1.949559e-06
6381.06 1.647684e-06
6442.46 1.389949e-06
6504.44 1.170310e-06
6567.03 9.834895e-07
6630.21 8.248874e-07
6694.00 6.905022e-07
6758.41 5.768593e-07
6823.44 4.809480e-07
6889.09 4.001645e-07
