latency_us exceedance
2910.90 1.000000e-01
2975.03 9.315428e-02
3040.57 8.672093e-02
3107.56 8.067972e-02
3176.02 7.501105e-02
3245.99 6.969598e-02
3317.50 6.471620e-02
3390.59 6.005407e-02
3465.29 5.569256e-02
3541.63 5.161534e-02
3619.66 4.780669e-02
3699.40 4.425152e-02
3780.90 4.093541e-02
3864.20 3.784451e-02
3949.33 3.496561e-02
4036.34 3.228610e-02
4125.26 2.979394e-02
4216.15 2.747769e-02
4309.03 2.532642e-02
4403.96 2.332980e-02
4500.99 2.147798e-02
4600.15 1.976165e-02
4701.49 1.817197e-02
4805.07 1.670061e-02
4910.93 1.533966e-02
5019.13 1.408169e-02
5129.70 1.291966e-02
5242.71 1.184697e-02
5358.21 1.085739e-02
5476.26 9.945057e-03
5596.91 9.104488e-03
5720.21 8.330523e-03
5846.23 7.618330e-03
5975.03 6.963384e-03
6106.67 6.361452e-03
6241.20 5.808579e-03
6378.70 5.301071e-03
6519.23 4.835481e-03
6662.86 4.408598e-03
6809.64 4.017431e-03
6959.67 3.659198e-03
7112.99 3.331313e-03
7269.70 3.031372e-03
7429.86 2.757146e-03
7593.54 2.506568e-03
7760.84 2.277722e-03
7931.82 2.068836e-03
8106.56 1.878270e-03
8285.16 1.704507e-03
8467.69 1.546147e-03
8654.24 1.401898e-03
8844.90 1.270569e-03
9039.76 1.151062e-03
9238.91 1.042366e-03
9442.45 9.435508e-04
9650.48 8.537604e-04
9863.09 7.722090e-04
10080.38 6.981751e-04
10302.46 6.309962e-04
10529.43 5.700651e-04
10761.41 5.148253e-04
10998.49 4.647669e-04
11240.80 4.194237e-04
11488.44 3.783688e-04
11741.54 3.412122e-04
12000.22 3.075977e-04
12264.59 2.771998e-04
12534.79 2.497219e-04
12810.95 2.248932e-04
13093.18 2.024670e-04
13381.64 1.822185e-04
13676.45 1.639431e-04
13977.75 1.474547e-04
14285.70 1.325840e-04
14600.42 1.191770e-04
14922.08 1.070939e-04
15250.83 9.620784e-05
15586.82 8.640349e-05
15930.21 7.757636e-05
16281.17 6.963167e-05
16639.86 6.248352e-05
17006.45 5.605411e-05
17381.12 5.027298e-05
17764.04 4.507637e-05
18155.40 4.040660e-05
18555.38 3.621151e-05
18964.17 3.244396e-05
19381.97 2.906134e-05
19808.97 2.602519e-05
20245.38 2.330078e-05
20691.40 2.085677e-05
21147.25 1.866489e-05
21613.14 1.669965e-05
22089.30 1.493807e-05
22575.95 1.335945e-05
23073.32 1.194514e-05
23581.64 1.067835e-05
24101.17 9.543963e-06
24632.14 8.528385e-06
25174.81 7.619384e-06
25729.43 6.805961e-06
26296.27 6.078230e-06
26875.60 5.427306e-06
27467.70 4.845209e-06
28072.84 4.324772e-06
28691.31 3.859561e-06
29323.40 3.443799e-06
29969.42 3.072306e-06
30629.68 2.740434e-06
31304.48 2.444013e-06
31994.14 2.179308e-06
32699.00 1.942968e-06
33419.39 1.731993e-06
34155.65 1.543694e-06
34908.13 1.375663e-06
35677.19 1.225745e-06
36463.19 1.092009e-06
37266.51 9.727295e-07
38087.52 8.663602e-07
38926.62 7.715191e-07
