latency_us exceedance
612.20 9.990010e-01
613.60 9.980020e-01
614.40 9.970030e-01
615.50 9.960040e-01
615.60 9.950050e-01
616.00 9.940060e-01
616.10 9.930070e-01
616.30 9.920080e-01
616.40 9.910090e-01
616.50 9.900100e-01
616.60 9.890110e-01
616.60 9.880120e-01
616.90 9.870130e-01
617.00 9.860140e-01
617.20 9.850150e-01
617.20 9.840160e-01
617.30 9.830170e-01
617.30 9.820180e-01
617.70 9.810190e-01
617.70 9.800200e-01
617.90 9.790210e-01
618.00 9.780220e-01
618.20 9.770230e-01
618.20 9.760240e-01
618.20 9.750250e-01
618.50 9.740260e-01
618.60 9.730270e-01
618.60 9.720280e-01
618.70 9.710290e-01
618.80 9.700300e-01
619.00 9.690310e-01
619.10 9.680320e-01
619.10 9.670330e-01
619.20 9.660340e-01
619.20 9.650350e-01
619.20 9.640360e-01
619.30 9.630370e-01
619.30 9.620380e-01
619.40 9.610390e-01
619.50 9.600400e-01
619.50 9.590410e-01
619.60 9.580420e-01
619.80 9.570430e-01
619.80 9.560440e-01
620.00 9.550450e-01
620.10 9.540460e-01
620.10 9.530470e-01
620.20 9.520480e-01
620.30 9.510490e-01
620.50 9.500500e-01
620.50 9.490509e-01
620.60 9.480519e-01
620.60 9.470529e-01
620.70 9.460539e-01
621.00 9.450549e-01
621.10 9.440559e-01
621.20 9.430569e-01
621.20 9.420579e-01
621.30 9.410589e-01
621.40 9.400599e-01
621.40 9.390609e-01
621.50 9.380619e-01
621.50 9.370629e-01
621.70 9.360639e-01
621.80 9.350649e-01
621.80 9.340659e-01
621.90 9.330669e-01
622.00 9.320679e-01
622.00 9.310689e-01
622.00 9.300699e-01
622.00 9.290709e-01
622.10 9.280719e-01
622.10 9.270729e-01
622.20 9.260739e-01
622.20 9.250749e-01
622.30 9.240759e-01
622.30 9.230769e-01
622.50 9.220779e-01
622.50 9.210789e-01
622.60 9.200799e-01
622.70 9.190809e-01
622.80 9.180819e-01
622.90 9.170829e-01
