id,source,authors,title,venue,year,doi,model,domain,metric,cert,type
S1,IEEE,"Benito, Trompouki, Kosmidis, Garcia, Carretero, Wenger",Comparison of GPU Computing Methodologies for Safety-Critical Systems: An Avionics Case Study,DATE,2021,10.23919/DATE51398.2021.9474060,Graphics-based,Avionics,Mean performance,Explicit,Validation
S2,IEEE,"Shrivastava, Rahul",Maximizing GFLOPS on Mobile GPUs: Analyzing OpenCL Kernel Optimizations on Snapdragon and MediaTek Platforms,EAIC,2025,10.1109/EAIC66483.2025.11101353,OpenCL,Embedded/edge,Mean performance,Absent,Validation
S3,IEEE,"Trompouki, Kosmidis",BRASIL: A High-Integrity GPGPU Toolchain for Automotive Systems,ICCD,2019,10.1109/ICCD46524.2019.00094,Graphics-based,Automotive,Mean performance,Explicit,Solution proposal
S4,IEEE,"Trompouki, Kosmidis",DO-178C Certification of General-Purpose GPU Software: Review of Existing Methods and Future Directions,DASC,2021,10.1109/DASC52595.2021.9594412,Multiple (qualitative),Avionics,Qualitative only,Explicit,Philosophical
S5,IEEE,"Castro Angulo et al.",A case study of OpenCL-based parallel programming for low-power remote sensing applications,CCE,2015,10.1109/ICEEE.2015.7357959,OpenCL,Space/radar,Mean performance,Absent,Validation
S6,IEEE,"Prerad, Ivanovic, Avramovic",Edge AI Acceleration Using OpenCL Framework on NXP i.MX 8M Nano SoM,INDEL,2024,10.1109/INDEL62640.2024.10772692,OpenCL,Embedded/edge,Mean performance,Absent,Validation
S7,IEEE,"Wang, Xue, Wang",Research on Heterogeneous Parallel Algorithms for Radar Signal Processing in OpenCL Platform,ACES-China,2022,10.1109/ACES-China56081.2022.10064769,OpenCL,Space/radar,Mean performance,Absent,Validation
S8,IEEE,"Guo, Dekneuvel, Jacquemod, Biwole",From SysML Application Model to Executable OpenCL Code: A System-Level Design Approach,MECO,2024,10.1109/MECO62516.2024.10577799,OpenCL,Embedded/edge,Mean performance,Absent,Solution proposal
S9,IEEE,"Huang, Hu, Chen, Knoll, Wang",ADAS on COTS with OpenCL: A Case Study with Lane Detection,IEEE Trans. Comput.,2018,10.1109/TC.2017.2759203,OpenCL,Automotive,Mean performance,Absent,Validation
S10,IEEE,"Lupescu, Slusanschi, Tapus",Extensions over OpenCL for Latency Reduction and Critical Applications,SYNASC,2015,10.1109/SYNASC.2015.64,OpenCL,Generic critical,Latency/overhead,Absent,Solution proposal
S11,IEEE,"Tsog, Becker, Bruhn, Behnam, Sjodin",Static Allocation of Parallel Tasks to Improve Schedulability in CPU-GPU Heterogeneous Real-Time Systems,IECON,2019,10.1109/IECON.2019.8926767,OpenCL,Automotive,Schedulability/WCET,Absent,Solution proposal
S12,IEEE,"Guerra et al.",On the Evaluation of Different High-Performance Computing Platforms for Hyperspectral Imaging: An OpenCL-Based Approach,IEEE JSTARS,2017,10.1109/JSTARS.2017.2737958,OpenCL,Space/radar,Mean performance,Absent,Validation
S13,IEEE,"Faqir-Rhazoui, Costero, Garcia",Balancing Energy Efficiency and Portability: Assessing Domain-Specific Languages in Edge Platforms,DCOSS-IoT,2024,10.1109/DCOSS-IoT61029.2024.00032,Other (DSL/OpenVX),Embedded/edge,Mean performance,Absent,Validation
S14,IEEE,"Wiedemann, Zwirchmayr, Steininger",Towards Software-Based Vendor-Independent Preemption for Hardware Accelerated Workloads,Austrochip,2024,10.1109/Austrochip62761.2024.10716010,Other (DSL/OpenVX),Generic critical,Latency/overhead,Mention,Solution proposal
S15,IEEE,"Guo, Dekneuvel, Jacquemod, Biwole",Real-time PTV system implementation on multi-SoC architecture accelerated by OpenCL,ACDSA,2024,10.1109/ACDSA59508.2024.10467455,OpenCL,Embedded/edge,Mean performance,Absent,Validation
S16,IEEE,"Chen, Cui, Zhang, Hu, Huang",High-Speed Scene Flow on Embedded Commercial Off-the-Shelf Systems,IEEE TII,2019,10.1109/TII.2018.2864173,OpenCL,Automotive,Mean performance,Absent,Validation
S17,IEEE,"Akagic et al.",Superpixel Accelerator for Computer Vision Applications on Arria 10 SoC,DDECS,2018,10.1109/DDECS.2018.00-12,OpenCL,Embedded/edge,Mean performance,Absent,Validation
S18,IEEE,"Yih, Ota, Owens, Muyan-Ozcelik",FPGA versus GPU for Speed-Limit-Sign Recognition,ITSC,2018,10.1109/ITSC.2018.8569462,OpenCL,Automotive,Mean performance,Absent,Validation
S19,IEEE,"Syschikov, Sedov, Nedovodeev, Pakharev",Visual development environment for OpenVX,FRUCT,2017,10.23919/FRUCT.2017.8071346,Other (DSL/OpenVX),Embedded/edge,Qualitative only,Absent,Solution proposal
S20,IEEE,"Cui, Dahnoun",Real-time stereo vision implementation on the Texas Instruments KeyStone II SoC,IST,2016,10.1109/IST.2016.7738222,OpenCL,Embedded/edge,Mean performance,Absent,Validation
S21,IEEE,"Hou, Ma, Li, Li",FFT Algorithm Optimization and RD Imaging Algorithm Implementation Based on Heterogeneous Platform,ICCT,2024,10.1109/ICCT62411.2024.10946650,OpenCL,Space/radar,Mean performance,Absent,Validation
S22,Snowballing,"Peralta Quesada, Trompouki, Kosmidis",Evaluation of SYCL's Suitability for High-Performance Critical Systems,IWOCL,2023,10.1145/3585341.3585378,SYCL,Space/radar,Mean performance,Mention,Validation
S23,Snowballing,"Faqir-Rhazoui, Garcia",SYCL in the edge: performance and energy evaluation for heterogeneous acceleration,J. Supercomput.,2024,10.1007/s11227-024-05957-6,SYCL,Embedded/edge,Mean performance,Absent,Validation
S24,Snowballing,"Trompouki, Kosmidis",Brook Auto: High-Level Certification-Friendly Programming for GPU-Powered Automotive Systems,DAC,2018,,Graphics-based,Automotive,Mean performance,Explicit,Solution proposal
