platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P1,cpp,serial,cpu,gemm,256,warm,0,0,2618878,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,186499411,688525467,670582823,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,38292461,33103772,26592247,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,54556953,417012470,1964010,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,60838982,0,281334850,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,16728133,0,3498479,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,66524934,0,288969942,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,62206158,0,155042167,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,69926120,0,5505055,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2166298,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,38279390,658681671,672519004,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,38383060,32808138,24377981,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,42148623,387028351,2055678,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,16801182,0,250759309,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,17379123,0,3512961,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,62393158,0,247721715,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,64477358,0,149169401,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,63407097,0,5887405,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2258092,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,39273989,769695252,744094702,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,39347692,35164607,24315436,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,54745261,427672130,2195441,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,18787167,0,268604119,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,16694433,0,3583783,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,62835497,0,241791622,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,62171883,0,146995619,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,62524228,0,5571464,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2206898,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,37576014,662909819,670499271,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,37282698,32557961,24347181,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,43231539,394830875,1999935,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,17092552,0,257405828,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,16553987,0,3652373,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,62252032,0,239092023,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,65012799,0,155831882,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,65308927,0,5687276,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2301156,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,39916161,660954454,688497539,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,39278434,34971890,25018570,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,49645797,408673671,1945741,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,17750803,0,263045163,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,17339089,0,4011839,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,64538036,0,241559038,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,68724781,0,156847837,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,65631961,0,5712697,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2258894,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,39447077,724880345,699749905,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,40366653,33850682,29369790,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,45764016,465182546,2039529,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,18000188,0,266743539,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,17640078,0,3466182,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,63280055,0,247163013,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,66584304,0,156273996,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,65219701,0,5679952,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2166937,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,42237896,676410447,687984304,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,40760374,33639971,24522109,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,46256202,442043247,1974165,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,18182897,0,278241921,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,18749945,0,3680123,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,cold,67277294,0,292419775,4.415e-04
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,warm,67563975,0,158784976,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,warm,67726340,0,6293380,0.000e+00
P1,cpp,serial,cpu,gemm,256,warm,0,0,2304982,0.000e+00
P1,opencl,pocl,cpu,gemm,256,cold,44828151,751631787,685613300,4.415e-04
P1,opencl,pocl,cpu,gemm,256,warm,41634747,34954233,24706300,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,warm,45515400,400908151,2038811,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,cold,18201382,0,262157994,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,warm,17644314,0,3937376,4.415e-04
