platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P1,cpp,serial,cpu,gemm,256,iso,0,0,2337705,0.000e+00
P1,opencl,pocl,cpu,gemm,256,iso,39582990,36712888,24830337,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,iso,45897062,412400589,1982031,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,iso,17666703,0,256465155,4.415e-04
P1,sycl,acpp-omp-jit-buf,cpu,gemm,256,iso,17224328,0,249784515,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,iso,63698393,0,5621818,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,iso,64273105,0,244178730,4.415e-04
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,256,iso,62540543,0,233811458,4.415e-04
P1,cpp,serial,cpu,gemm,512,iso,0,0,18000409,0.000e+00
P1,opencl,pocl,cpu,gemm,512,iso,39445054,36330524,199355515,8.779e-04
P1,opencl,intel-ocl,cpu,gemm,512,iso,45340167,406950858,15870903,8.779e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,512,iso,19077661,0,15697255,8.779e-04
P1,sycl,acpp-omp-jit-buf,cpu,gemm,512,iso,17308388,0,16679528,8.779e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,512,iso,65175364,0,35608519,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,512,iso,64100514,0,166490395,8.779e-04
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,512,iso,64662617,0,162876840,8.779e-04
P1,cpp,serial,cpu,conv,512,iso,0,0,5342441,0.000e+00
P1,opencl,pocl,cpu,conv,512,iso,38566411,32884394,7966744,0.000e+00
P1,opencl,intel-ocl,cpu,conv,512,iso,43845083,391053653,4757942,0.000e+00
P1,sycl,acpp-omp-jit-usm,cpu,conv,512,iso,16440812,0,172014226,0.000e+00
P1,sycl,acpp-omp-jit-buf,cpu,conv,512,iso,20781788,0,176658633,0.000e+00
P1,sycl,acpp-omp-aot-usm,cpu,conv,512,iso,63418674,0,6753335,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,conv,512,iso,64457027,0,230490290,0.000e+00
P1,sycl,acpp-ocl-jit-buf,cpu,conv,512,iso,63405254,0,230788990,0.000e+00
P1,cpp,serial,cpu,conv,1024,iso,0,0,23068782,0.000e+00
P1,opencl,pocl,cpu,conv,1024,iso,37944956,33296807,31259743,0.000e+00
P1,opencl,intel-ocl,cpu,conv,1024,iso,43272400,391299959,19109905,0.000e+00
P1,sycl,acpp-omp-jit-usm,cpu,conv,1024,iso,16850093,0,32258439,0.000e+00
P1,sycl,acpp-omp-jit-buf,cpu,conv,1024,iso,17401190,0,33945009,0.000e+00
P1,sycl,acpp-omp-aot-usm,cpu,conv,1024,iso,64726366,0,24451786,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,conv,1024,iso,60995044,0,163468652,0.000e+00
P1,sycl,acpp-ocl-jit-buf,cpu,conv,1024,iso,63276464,0,178063692,0.000e+00
P1,cpp,serial,cpu,kalman,4096,iso,0,0,425644,0.000e+00
P1,opencl,pocl,cpu,kalman,4096,iso,46282989,59821848,1298716,1.101e-07
P1,opencl,intel-ocl,cpu,kalman,4096,iso,42682544,385195272,860285,1.101e-07
P1,sycl,acpp-omp-jit-usm,cpu,kalman,4096,iso,20705703,0,228384004,1.101e-07
P1,sycl,acpp-omp-jit-buf,cpu,kalman,4096,iso,17462329,0,218575986,1.101e-07
P1,sycl,acpp-omp-aot-usm,cpu,kalman,4096,iso,64488455,0,1848277,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,4096,iso,65728092,0,344297648,1.101e-07
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,4096,iso,60625701,0,294202923,1.101e-07
P1,cpp,serial,cpu,kalman,32768,iso,0,0,3630781,0.000e+00
P1,opencl,pocl,cpu,kalman,32768,iso,38198617,35058333,8047562,1.598e-07
P1,opencl,intel-ocl,cpu,kalman,32768,iso,44433359,402238328,5192104,1.598e-07
P1,sycl,acpp-omp-jit-usm,cpu,kalman,32768,iso,17383418,0,5372880,1.598e-07
P1,sycl,acpp-omp-jit-buf,cpu,kalman,32768,iso,17077667,0,5716011,1.598e-07
P1,sycl,acpp-omp-aot-usm,cpu,kalman,32768,iso,64211070,0,5193067,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,32768,iso,63311979,0,202654765,1.598e-07
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,32768,iso,61550246,0,196011850,1.598e-07
P1,opencl,pocl,cpu,null,1,iso,37728765,39518192,305555,-1.000e+00
P1,opencl,intel-ocl,cpu,null,1,iso,44739148,402100184,129177,-1.000e+00
P1,sycl,acpp-omp-jit-usm,cpu,null,1,iso,17206851,0,144340684,-1.000e+00
P1,sycl,acpp-omp-jit-buf,cpu,null,1,iso,16883991,0,732123,-1.000e+00
P1,sycl,acpp-omp-aot-usm,cpu,null,1,iso,62948636,0,17844,-1.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,null,1,iso,59547594,0,99652867,-1.000e+00
P1,sycl,acpp-ocl-jit-buf,cpu,null,1,iso,62549988,0,163543934,-1.000e+00
P1,cpp,serial,cpu,gemm,256,intf,0,0,2202093,0.000e+00
P1,opencl,pocl,cpu,gemm,256,intf,37874255,34029165,26782492,4.415e-04
P1,opencl,intel-ocl,cpu,gemm,256,intf,45459959,395779220,1947586,4.415e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,256,intf,17593280,0,5394693,4.415e-04
P1,sycl,acpp-omp-jit-buf,cpu,gemm,256,intf,17311247,0,5997055,4.415e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,256,intf,65713854,0,5616721,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,256,intf,69979293,0,152382403,4.415e-04
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,256,intf,68581760,0,154406144,4.415e-04
P1,cpp,serial,cpu,gemm,512,intf,0,0,18413913,0.000e+00
P1,opencl,pocl,cpu,gemm,512,intf,53763274,60592623,195920516,8.779e-04
P1,opencl,intel-ocl,cpu,gemm,512,intf,46758624,408228379,16279982,8.779e-04
P1,sycl,acpp-omp-jit-usm,cpu,gemm,512,intf,17681416,0,15998002,8.779e-04
P1,sycl,acpp-omp-jit-buf,cpu,gemm,512,intf,25918017,0,15705541,8.779e-04
P1,sycl,acpp-omp-aot-usm,cpu,gemm,512,intf,64960493,0,35491432,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,gemm,512,intf,67543830,0,170252968,8.779e-04
P1,sycl,acpp-ocl-jit-buf,cpu,gemm,512,intf,64762704,0,165799920,8.779e-04
P1,cpp,serial,cpu,conv,512,intf,0,0,5335200,0.000e+00
P1,opencl,pocl,cpu,conv,512,intf,40487853,34252772,7836394,0.000e+00
P1,opencl,intel-ocl,cpu,conv,512,intf,43653888,391560206,4674280,0.000e+00
P1,sycl,acpp-omp-jit-usm,cpu,conv,512,intf,23532521,0,9496969,0.000e+00
P1,sycl,acpp-omp-jit-buf,cpu,conv,512,intf,18534746,0,9696620,0.000e+00
P1,sycl,acpp-omp-aot-usm,cpu,conv,512,intf,66301045,0,7057369,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,conv,512,intf,68530348,0,158803768,0.000e+00
P1,sycl,acpp-ocl-jit-buf,cpu,conv,512,intf,65761896,0,153666025,0.000e+00
P1,cpp,serial,cpu,conv,1024,intf,0,0,22193423,0.000e+00
P1,opencl,pocl,cpu,conv,1024,intf,41104326,33683827,31277525,0.000e+00
P1,opencl,intel-ocl,cpu,conv,1024,intf,45556116,426484576,25749614,0.000e+00
P1,sycl,acpp-omp-jit-usm,cpu,conv,1024,intf,17781577,0,32410012,0.000e+00
P1,sycl,acpp-omp-jit-buf,cpu,conv,1024,intf,17862599,0,32638277,0.000e+00
P1,sycl,acpp-omp-aot-usm,cpu,conv,1024,intf,67323079,0,23686731,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,conv,1024,intf,70473386,0,178051813,0.000e+00
P1,sycl,acpp-ocl-jit-buf,cpu,conv,1024,intf,73218832,0,187147623,0.000e+00
P1,cpp,serial,cpu,kalman,4096,intf,0,0,438331,0.000e+00
P1,opencl,pocl,cpu,kalman,4096,intf,40676408,34023803,1098656,1.101e-07
P1,opencl,intel-ocl,cpu,kalman,4096,intf,45291582,402285160,899280,1.101e-07
P1,sycl,acpp-omp-jit-usm,cpu,kalman,4096,intf,17923509,0,2317975,1.101e-07
P1,sycl,acpp-omp-jit-buf,cpu,kalman,4096,intf,17501956,0,2475862,1.101e-07
P1,sycl,acpp-omp-aot-usm,cpu,kalman,4096,intf,69037948,0,1956083,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,4096,intf,64821576,0,199519519,1.101e-07
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,4096,intf,65785877,0,202535814,1.101e-07
P1,cpp,serial,cpu,kalman,32768,intf,0,0,3787604,0.000e+00
P1,opencl,pocl,cpu,kalman,32768,intf,41978265,33807484,7950561,1.598e-07
P1,opencl,intel-ocl,cpu,kalman,32768,intf,46472732,414307886,5236508,1.598e-07
P1,sycl,acpp-omp-jit-usm,cpu,kalman,32768,intf,17601248,0,5257217,1.598e-07
P1,sycl,acpp-omp-jit-buf,cpu,kalman,32768,intf,18124499,0,5548635,1.598e-07
P1,sycl,acpp-omp-aot-usm,cpu,kalman,32768,intf,95687005,0,5435944,0.000e+00
P1,sycl,acpp-ocl-jit-usm,cpu,kalman,32768,intf,71473245,0,213629275,1.598e-07
P1,sycl,acpp-ocl-jit-buf,cpu,kalman,32768,intf,67991173,0,203037810,1.598e-07
P1,opencl,pocl,cpu,null,1,intf,42085411,33290792,119078,-1.000e+00
P1,opencl,intel-ocl,cpu,null,1,intf,44593039,395062304,92882,-1.000e+00
P1,sycl,acpp-omp-jit-usm,cpu,null,1,intf,17461776,0,627139,-1.000e+00
