platform,model,impl,device,kernel,size,scenario,t_init_ns,t_build_ns,t_first_ns,max_rel_err
P2,cpp,serial,cpu,gemm,256,iso,0,0,1866300,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,iso,1330550500,761690900,1304900,4.415e-04
P2,cpp,openmp,cpu,gemm,256,all,0,0,1204600,0.000e+00
P2,cpp,serial,cpu,gemm,512,iso,0,0,9137400,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,512,iso,1325711100,719181600,5465500,8.779e-04
P2,cpp,openmp,cpu,gemm,512,all,0,0,3924600,0.000e+00
P2,cpp,serial,cpu,conv,512,iso,0,0,4518900,0.000e+00
P2,opencl,amd-ocl,gpu,conv,512,iso,1324623900,719852500,1526600,0.000e+00
P2,cpp,openmp,cpu,conv,512,all,0,0,2044100,0.000e+00
P2,cpp,serial,cpu,conv,1024,iso,0,0,17980400,0.000e+00
P2,opencl,amd-ocl,gpu,conv,1024,iso,1335175100,715962600,4232400,0.000e+00
P2,cpp,openmp,cpu,conv,1024,all,0,0,4569200,0.000e+00
P2,cpp,serial,cpu,kalman,4096,iso,0,0,699500,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,4096,iso,1339778900,719223300,568500,2.746e-05
P2,cpp,openmp,cpu,kalman,4096,all,0,0,864100,0.000e+00
P2,cpp,serial,cpu,kalman,32768,iso,0,0,4440100,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,32768,iso,822649100,497495700,1640700,2.746e-05
P2,cpp,openmp,cpu,kalman,32768,all,0,0,2278800,0.000e+00
P2,opencl,amd-ocl,gpu,null,1,iso,1335564300,700124200,442300,-1.000e+00
P2,cpp,serial,cpu,gemm,256,intf,0,0,2920100,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,256,intf,2494105000,1317220000,3699700,4.415e-04
P2,cpp,serial,cpu,gemm,512,intf,0,0,12208500,0.000e+00
P2,opencl,amd-ocl,gpu,gemm,512,intf,2435544800,1313753000,9490300,8.779e-04
P2,cpp,serial,cpu,conv,512,intf,0,0,4978400,0.000e+00
P2,opencl,amd-ocl,gpu,conv,512,intf,2500739700,1317574200,2927100,0.000e+00
P2,cpp,serial,cpu,conv,1024,intf,0,0,17553800,0.000e+00
P2,opencl,amd-ocl,gpu,conv,1024,intf,2366045600,1340991100,5769500,0.000e+00
P2,cpp,serial,cpu,kalman,4096,intf,0,0,1201300,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,4096,intf,2335388900,1353292600,1466500,2.746e-05
P2,cpp,serial,cpu,kalman,32768,intf,0,0,4806000,0.000e+00
P2,opencl,amd-ocl,gpu,kalman,32768,intf,2397229300,1529092000,4082500,2.746e-05
P2,opencl,amd-ocl,gpu,null,1,intf,2525143900,1305076700,1071300,-1.000e+00
