base,model,impl,device,kernel,size,scenario,median
P2,cpp,openmp,cpu,conv,512,all,0.015564609968456425
P2,cpp,openmp,cpu,conv,1024,all,0.0445015391289972
P2,cpp,openmp,cpu,gemm,256,all,0.016617841632879913
P2,cpp,openmp,cpu,gemm,512,all,0.029231994120386684
P2,cpp,openmp,cpu,kalman,4096,all,0.14197397500205627
P2,cpp,openmp,cpu,kalman,32768,all,0.06106420144849541
P2,cpp,serial,cpu,conv,512,intf,0.021499115674388333
P2,cpp,serial,cpu,conv,512,iso,0.02634763343473945
P2,cpp,serial,cpu,conv,1024,intf,0.14614226843791403
P2,cpp,serial,cpu,conv,1024,iso,0.018350381527160363
P2,cpp,serial,cpu,gemm,256,intf,0.048677051029786984
P2,cpp,serial,cpu,gemm,256,iso,0.0067138119044423275
P2,cpp,serial,cpu,gemm,512,intf,0.07043918079710187
P2,cpp,serial,cpu,gemm,512,iso,0.025174448075282133
P2,cpp,serial,cpu,kalman,4096,intf,0.02558100578462025
P2,cpp,serial,cpu,kalman,4096,iso,0.008516929968556729
P2,cpp,serial,cpu,kalman,32768,intf,0.14270256178481464
P2,cpp,serial,cpu,kalman,32768,iso,0.02405711721008662
P2,opencl,amd-ocl,gpu,conv,512,intf,0.2220329966954588
P2,opencl,amd-ocl,gpu,conv,512,iso,0.024024867257752335
P2,opencl,amd-ocl,gpu,conv,1024,intf,0.08303027700034822
P2,opencl,amd-ocl,gpu,conv,1024,iso,0.18481513480219253
P2,opencl,amd-ocl,gpu,gemm,256,intf,0.21191252718910045
P2,opencl,amd-ocl,gpu,gemm,256,iso,0.009221171829338314
P2,opencl,amd-ocl,gpu,gemm,512,intf,0.007304549426252997
P2,opencl,amd-ocl,gpu,gemm,512,iso,0.04883401653132403
P2,opencl,amd-ocl,gpu,kalman,4096,intf,0.11133273571970756
P2,opencl,amd-ocl,gpu,kalman,4096,iso,0.05621911783503379
P2,opencl,amd-ocl,gpu,kalman,32768,intf,0.2428562746866552
P2,opencl,amd-ocl,gpu,kalman,32768,iso,0.4301214223341884
