platform,model,impl,device,kernel,size,scenario,n,min,median,mean,std,cov,p99,p999,max,iqr,e2e_median,tail999,maxmed,label,family,gflops
P1,cpp,serial,cpu,conv,512,intf,1000.0,5073.646,5169.619000000001,5415.944176000001,840.767080914134,0.15523924427431798,9653.18218,11928.631233000013,12077.715,132.8755000000001,5166.118,2.3074488145064485,2.3362872583066565,C++ serial,Native,2.5354286263649213
P1,cpp,serial,cpu,conv,512,iso,1000.0,5064.006,5150.977,5390.605829,805.8912767862672,0.14949920330861335,9449.46243,9975.947938000125,11358.502,130.92324999999983,5153.727000000001,1.9367098587316784,2.2051160391514077,C++ serial,Native,2.544604644905229
P1,cpp,serial,cpu,conv,1024,intf,500.0,21067.442,21526.5945,22096.198335999998,2454.6621773610464,0.11108979653580561,34921.87026999999,47737.54384800044,54352.711,467.62274999999863,21517.9375,2.217607798948433,2.5249098736913544,C++ serial,Native,2.435536192220279
P1,cpp,serial,cpu,conv,1024,iso,500.0,20984.76,21467.9865,22092.492141999996,2107.796598187747,0.09540782382720049,33231.121289999995,37391.92585600008,38580.472,554.5594999999994,21428.9095,1.741752812076721,1.7971164645552578,C++ serial,Native,2.442185251048113
P1,cpp,serial,cpu,gemm,256,intf,1000.0,2133.774,2170.824,2219.7211050000005,341.90261379015,0.15402953687289914,3064.72648,6708.469784000149,8357.603,42.16100000000006,2169.8199999999997,3.090287275246703,3.849968030572722,C++ serial,Native,15.457002502275634
P1,cpp,serial,cpu,gemm,256,iso,1000.0,2135.073,2182.4719999999998,2226.2919129999996,141.83962332947618,0.0637111523880724,2811.21166,3483.492321000021,3718.578,62.36025000000018,2184.7725,1.5961223424630517,1.7038376666458952,C++ serial,Native,15.374507439270701
P1,cpp,serial,cpu,gemm,512,intf,300.0,17743.13,17983.833,18400.171266666668,1252.1469101173511,0.06805082909123308,23511.05552999999,27063.21940200007,28066.963,432.73999999999796,18001.654000000002,1.5048638075097824,1.5606774707038262,C++ serial,Native,14.926487362288118
P1,cpp,serial,cpu,gemm,512,iso,300.0,17713.292,17981.612999999998,18174.26638,830.7825371256781,0.045712025990766736,21877.787139999993,26065.041564000087,27265.456,200.7087500000016,17970.2195,1.4495385683142046,1.5162964523816636,C++ serial,Native,14.928330178165888
P1,cpp,serial,cpu,kalman,4096,intf,1000.0,407.725,433.28700000000003,435.979914,49.57932949100241,0.11371929737800354,496.14126999999996,687.9120490001051,1853.794,26.515999999999963,469.505,1.587659101242606,4.278443618202254,C++ serial,Native,9.453318470205659
P1,cpp,serial,cpu,kalman,4096,iso,1000.0,406.826,448.355,508.88301499999994,152.99538159791317,0.3006494166403121,839.70197,1823.414373000091,2833.776,93.61249999999995,484.07050000000004,4.066898714188737,6.320384516733392,C++ serial,Native,9.13561798128715
P1,cpp,serial,cpu,kalman,32768,intf,500.0,3355.443,3518.9455,3717.2113719999998,792.8529671087318,0.21329240868058225,8006.868009999998,9972.56267800003,10407.53,145.09375,4287.112,2.8339633785178058,2.957570669963488,C++ serial,Native,9.311880505111546
P1,cpp,serial,cpu,kalman,32768,iso,500.0,3352.01,3535.36,3688.659976,543.3204832365556,0.1472948135018221,6849.435049999999,7174.003988000005,7243.858,112.61024999999972,4101.9265,2.0292145603276626,2.04897323044895,C++ serial,Native,9.268645908761767
P1,opencl,intel-ocl,cpu,conv,512,intf,1000.0,3732.364,3923.4175,3985.50298,310.83566023037713,0.0779915764183865,5235.534669999999,6327.1350160003485,10191.283,59.534999999999854,4266.375,1.6126591207793584,2.597552516396738,OpenCL Intel,OpenCL,3.340760956487552
P1,opencl,intel-ocl,cpu,conv,512,iso,1000.0,3739.764,3939.361,4057.927079,337.62428709954236,0.083201171565346,5234.61082,6685.58518400003,7022.432,142.2542499999995,4195.523499999999,1.697124275739144,1.7826322593943535,OpenCL Intel,OpenCL,3.3272401285386133
P1,opencl,intel-ocl,cpu,conv,1024,intf,500.0,15457.029,16948.983,17322.292252,1575.852715794559,0.09097252793507245,24110.78041,28823.229246000185,31570.347,710.4799999999959,18985.388,1.7005875364911385,1.8626691052790603,OpenCL Intel,OpenCL,3.0933301425814164
P1,opencl,intel-ocl,cpu,conv,1024,iso,500.0,16779.413,17505.9575,17865.867166,1396.121959797962,0.07814465129657296,24217.093699999994,27036.04556400005,27807.282,597.4160000000011,19390.6305,1.5443911345037853,1.5884467901855697,OpenCL Intel,OpenCL,2.994911875000268
P1,opencl,intel-ocl,cpu,gemm,256,intf,1000.0,1719.013,1820.252,1867.2574100000002,201.0239709760079,0.10765734274205284,2726.3130699999997,2928.440911000013,3073.207,86.31025,1937.9470000000001,1.6088107091765387,1.688341504363132,OpenCL Intel,OpenCL,18.433948706003346
P1,opencl,intel-ocl,cpu,gemm,256,iso,1000.0,1772.203,1861.312,1937.7189079999998,249.9727371414281,0.129003611467793,2808.39792,3734.57338100001,3850.838,72.5652500000001,1970.1745,2.0064198699626985,2.0688836691538013,OpenCL Intel,OpenCL,18.027301172506274
P1,opencl,intel-ocl,cpu,gemm,512,intf,300.0,14290.205,14944.444,15255.337039999999,1213.6207798491935,0.07955384903440937,20916.74743,21277.46944500001,21411.405,409.3962500000016,15524.575499999999,1.4237712319708924,1.432733462683523,OpenCL Intel,OpenCL,17.962224355753886
P1,opencl,intel-ocl,cpu,gemm,512,iso,300.0,14214.771,14711.7625,15173.866096666667,1391.43856078307,0.0916996731036618,21456.147739999997,22710.989082000022,23011.688,420.6790000000001,15244.472,1.5437299971366463,1.5641693508850485,OpenCL Intel,OpenCL,18.24631521885974
P1,opencl,intel-ocl,cpu,kalman,4096,intf,1000.0,551.178,589.239,589.288917,30.31927629299621,0.051450613473859395,686.0357,790.9146020000067,864.443,31.656499999999937,723.082,1.3422645174538796,1.4670498728020378,OpenCL Intel,OpenCL,6.951338930383088
P1,opencl,intel-ocl,cpu,kalman,4096,iso,1000.0,557.789,596.9645,639.608804,213.91687379342272,0.33444954549659817,1172.0202,2731.387562000202,4971.707,70.02999999999997,725.576,4.575460621193055,8.328312655107633,OpenCL Intel,OpenCL,6.861379529268491
