% x = kernel/size column, y = configuration row (0 = C++ serial), ratio = median/C++ serial
x y ratio log2r
0 0 1.000 0.0000
1 0 1.000 0.0000
2 0 1.000 0.0000
3 0 1.000 0.0000
4 0 1.000 0.0000
5 0 1.000 0.0000

0 1 11.235 3.4900
1 1 11.017 3.4617
2 1 1.426 0.5116
3 1 1.381 0.4661
4 1 2.201 1.1384
5 1 2.263 1.1781

0 2 0.853 -0.2296
1 2 0.818 -0.2896
2 2 0.765 -0.3869
3 2 0.815 -0.2943
4 2 1.331 0.4130
5 2 1.360 0.4432

0 3 1.942 0.9576
1 3 1.900 0.9263
2 3 1.004 0.0063
3 3 0.968 -0.0467
4 3 1.150 0.2017
5 3 1.089 0.1225

0 4 0.695 -0.5241
1 4 0.697 -0.5215
2 4 1.390 0.4749
3 4 1.340 0.4224
4 4 0.999 -0.0021
5 4 0.952 -0.0713

0 5 0.693 -0.5290
1 5 0.719 -0.4752
2 5 1.390 0.4755
3 5 1.348 0.4303
4 5 0.989 -0.0167
5 5 0.946 -0.0800

0 6 0.858 -0.2202
1 6 1.159 0.2131
2 6 0.755 -0.4058
3 6 1.056 0.0790
4 6 0.971 -0.0419
5 6 0.918 -0.1230

0 7 0.862 -0.2145
1 7 1.105 0.1434
2 7 0.758 -0.4002
3 7 1.089 0.1232
4 7 0.968 -0.0467
5 7 0.911 -0.1343
