platform,label,family,all,intf,iso
P1,OpenCL Intel,OpenCL,,1.6107349149779486,1.6923376498631764
P1,SYCL OMP JIT USM,SYCL,,1.8183193957887762,1.9446873560820095
P1,SYCL→OCL Intel USM,SYCL,,1.9652234493607548,1.924340567967749
P1,SYCL OMP JIT buf,SYCL,,2.0076244550289672,1.7319863930274155
P1,SYCL→OCL Intel buf,SYCL,,2.0459663562425914,1.7675951132224856
P1,SYCL OMP AOT USM,SYCL,,2.0829278383708685,2.1266018921280456
P1,OpenCL PoCL,OpenCL,,2.1128405885026016,1.9507768133455903
P1,C++ serial,Native,,2.2625283067274404,1.8392313354041998
P2,C++ serial,Native,,6.329153155582269,1.6440213997737627
P2,OpenCL AMD iGPU,OpenCL,,7.113457358792857,3.792821102628964
