latency_us ecdf
10252.90 0.00333
10306.70 0.00667
10494.30 0.01000
10538.10 0.01333
10565.60 0.01667
10569.00 0.02000
10586.10 0.02333
10600.40 0.02667
10613.70 0.03000
10623.20 0.03333
10649.00 0.03667
10655.40 0.04000
10664.40 0.04333
10668.50 0.04667
10669.00 0.05000
10684.20 0.05333
10686.10 0.05667
10694.80 0.06000
10702.90 0.06333
10713.60 0.06667
10721.70 0.07000
10733.60 0.07333
10740.90 0.07667
10743.50 0.08000
10748.30 0.08333
10765.40 0.08667
10771.30 0.09000
10780.50 0.09333
10819.50 0.09667
10858.80 0.10000
10862.10 0.10333
10867.00 0.10667
10870.50 0.11000
10871.20 0.11333
10878.40 0.11667
10891.80 0.12000
10895.80 0.12333
10900.70 0.12667
10904.00 0.13000
10905.80 0.13333
10915.40 0.13667
10917.60 0.14000
10926.20 0.14333
10928.10 0.14667
10928.70 0.15000
10939.50 0.15333
10948.00 0.15667
10969.30 0.16000
10999.10 0.16333
11005.80 0.16667
11010.50 0.17000
11013.60 0.17333
11079.00 0.17667
11085.10 0.18000
11115.60 0.18333
11149.50 0.18667
11153.50 0.19000
11241.40 0.19333
11350.70 0.19667
11473.00 0.20000
11480.20 0.20333
11502.80 0.20667
11530.00 0.21000
11583.00 0.21333
11665.50 0.21667
11752.60 0.22000
11768.30 0.22333
11775.20 0.22667
11843.00 0.23000
11848.40 0.23333
11887.50 0.23667
11927.00 0.24000
11940.70 0.24333
11986.30 0.24667
11993.60 0.25000
12019.20 0.25333
12026.30 0.25667
12032.80 0.26000
12044.70 0.26333
12091.60 0.26667
12092.20 0.27000
12128.90 0.27333
12140.20 0.27667
12168.80 0.28000
12171.80 0.28333
12175.80 0.28667
12185.40 0.29000
12189.20 0.29333
12190.50 0.29667
12220.10 0.30000
12225.30 0.30333
12238.90 0.30667
12240.80 0.31000
12248.00 0.31333
12283.30 0.31667
12285.50 0.32000
12302.00 0.32333
12330.60 0.32667
12337.70 0.33000
12340.50 0.33333
12355.20 0.33667
12357.90 0.34000
12358.60 0.34333
12394.20 0.34667
12402.70 0.35000
12405.40 0.35333
12406.60 0.35667
12423.70 0.36000
12468.80 0.36333
12488.20 0.36667
12491.30 0.37000
12495.50 0.37333
12510.80 0.37667
12518.20 0.38000
12593.70 0.38333
12634.50 0.38667
12645.40 0.39000
12675.70 0.39333
12689.80 0.39667
12708.80 0.40000
12718.40 0.40333
12719.60 0.40667
12741.10 0.41000
12743.90 0.41333
12750.10 0.41667
12768.90 0.42000
12773.50 0.42333
12839.70 0.42667
12853.00 0.43000
12886.20 0.43333
12970.00 0.43667
12990.50 0.44000
13094.50 0.44333
13095.60 0.44667
13097.90 0.45000
13106.60 0.45333
13126.00 0.45667
13228.00 0.46000
13278.80 0.46333
13288.90 0.46667
13311.60 0.47000
13314.00 0.47333
13359.80 0.47667
13392.50 0.48000
13408.00 0.48333
13439.70 0.48667
13538.80 0.49000
13560.50 0.49333
13580.70 0.49667
13585.70 0.50000
13617.40 0.50333
13765.80 0.50667
13801.10 0.51000
13807.40 0.51333
13811.60 0.51667
13848.30 0.52000
13868.40 0.52333
13880.50 0.52667
13894.70 0.53000
13902.50 0.53333
13951.70 0.53667
13984.90 0.54000
14018.00 0.54333
14029.40 0.54667
14067.50 0.55000
14082.30 0.55333
14166.60 0.55667
14236.70 0.56000
14240.60 0.56333
14270.20 0.56667
14276.00 0.57000
14309.80 0.57333
14344.70 0.57667
14377.20 0.58000
14410.10 0.58333
14419.80 0.58667
14506.40 0.59000
14581.00 0.59333
14650.00 0.59667
14741.60 0.60000
14746.10 0.60333
14748.90 0.60667
14753.00 0.61000
14785.10 0.61333
14856.30 0.61667
14914.70 0.62000
14983.90 0.62333
14992.10 0.62667
15001.70 0.63000
15005.40 0.63333
15009.80 0.63667
15075.30 0.64000
15142.00 0.64333
15162.30 0.64667
15215.10 0.65000
15247.90 0.65333
15254.10 0.65667
15255.00 0.66000
15339.00 0.66333
15344.10 0.66667
15358.40 0.67000
15386.70 0.67333
15410.10 0.67667
15460.70 0.68000
15481.90 0.68333
15500.10 0.68667
15553.40 0.69000
15574.70 0.69333
15603.30 0.69667
15604.40 0.70000
15619.00 0.70333
15620.60 0.70667
15633.90 0.71000
15641.90 0.71333
15667.20 0.71667
15669.20 0.72000
15670.60 0.72333
15700.90 0.72667
15745.60 0.73000
15770.30 0.73333
15774.10 0.73667
15778.50 0.74000
15784.00 0.74333
15814.70 0.74667
15833.60 0.75000
15859.10 0.75333
15887.80 0.75667
15896.30 0.76000
15930.20 0.76333
15934.80 0.76667
15977.00 0.77000
16005.70 0.77333
16035.40 0.77667
16060.20 0.78000
16141.60 0.78333
16164.90 0.78667
16176.60 0.79000
16225.40 0.79333
16233.20 0.79667
16241.40 0.80000
16308.00 0.80333
16317.90 0.80667
16328.80 0.81000
16425.70 0.81333
16472.60 0.81667
16509.60 0.82000
16521.90 0.82333
16583.70 0.82667
16591.00 0.83000
16637.70 0.83333
16713.10 0.83667
16713.10 0.84000
16798.80 0.84333
16803.10 0.84667
16822.30 0.85000
16827.00 0.85333
17019.20 0.85667
17065.20 0.86000
17114.30 0.86333
17212.70 0.86667
17353.90 0.87000
17392.50 0.87333
17552.60 0.87667
17744.80 0.88000
17782.00 0.88333
17909.40 0.88667
18175.00 0.89000
18294.90 0.89333
18300.90 0.89667
18407.20 0.90000
18478.90 0.90333
18558.90 0.90667
18638.80 0.91000
18782.30 0.91333
18832.70 0.91667
18860.80 0.92000
18901.00 0.92333
18907.00 0.92667
19009.40 0.93000
19128.90 0.93333
19228.60 0.93667
19334.60 0.94000
19562.90 0.94333
19861.40 0.94667
20673.60 0.95000
21319.30 0.95333
21323.40 0.95667
24092.80 0.96000
26042.20 0.96333
26058.00 0.96667
27015.70 0.97000
27097.70 0.97333
27964.30 0.97667
31168.70 0.98000
34697.50 0.98333
36128.80 0.98667
37109.80 0.99000
38408.30 0.99333
39503.30 0.99667
51242.50 1.00000
