latency_us ecdf
6586.30 0.00333
6598.00 0.00667
6605.60 0.01000
6623.10 0.01333
6623.30 0.01667
6653.50 0.02000
6656.40 0.02333
6665.10 0.02667
6675.80 0.03000
6678.90 0.03333
6684.50 0.03667
6687.80 0.04000
6700.20 0.04333
6702.40 0.04667
6703.70 0.05000
6705.90 0.05333
6716.70 0.05667
6719.70 0.06000
6731.00 0.06333
6736.80 0.06667
6737.30 0.07000
6737.90 0.07333
6739.30 0.07667
6741.50 0.08000
6744.50 0.08333
6749.30 0.08667
6752.10 0.09000
6753.80 0.09333
6755.00 0.09667
6759.30 0.10000
6759.40 0.10333
6762.40 0.10667
6762.90 0.11000
6768.20 0.11333
6768.50 0.11667
6768.80 0.12000
6770.70 0.12333
6772.20 0.12667
6775.20 0.13000
6775.70 0.13333
6775.90 0.13667
6776.30 0.14000
6777.80 0.14333
6781.50 0.14667
6782.30 0.15000
6783.40 0.15333
6786.10 0.15667
6786.20 0.16000
6788.80 0.16333
6790.40 0.16667
6795.90 0.17000
6797.00 0.17333
6797.60 0.17667
6798.60 0.18000
6798.80 0.18333
6799.70 0.18667
6799.70 0.19000
6800.00 0.19333
6800.50 0.19667
6801.30 0.20000
6801.80 0.20333
6803.10 0.20667
6804.50 0.21000
6806.70 0.21333
6808.60 0.21667
6809.70 0.22000
6809.90 0.22333
6810.00 0.22667
6811.30 0.23000
6811.30 0.23333
6812.10 0.23667
6812.50 0.24000
6814.80 0.24333
6815.90 0.24667
6816.20 0.25000
6818.90 0.25333
6820.10 0.25667
6821.30 0.26000
6824.30 0.26333
6826.70 0.26667
6827.20 0.27000
6829.40 0.27333
6830.30 0.27667
6834.00 0.28000
6834.80 0.28333
6836.20 0.28667
6836.80 0.29000
6838.20 0.29333
6842.70 0.29667
6844.10 0.30000
6846.80 0.30333
6848.60 0.30667
6850.90 0.31000
6851.10 0.31333
6853.50 0.31667
6854.10 0.32000
6855.80 0.32333
6856.40 0.32667
6858.10 0.33000
6859.30 0.33333
6861.30 0.33667
6862.40 0.34000
6862.50 0.34333
6864.50 0.34667
6870.00 0.35000
6870.10 0.35333
6872.00 0.35667
6872.80 0.36000
6873.10 0.36333
6873.40 0.36667
6874.20 0.37000
6879.30 0.37333
6880.40 0.37667
6887.20 0.38000
6887.50 0.38333
6892.30 0.38667
6892.40 0.39000
6895.30 0.39333
6903.60 0.39667
6907.90 0.40000
6909.00 0.40333
6909.00 0.40667
6911.00 0.41000
6913.00 0.41333
6915.00 0.41667
6917.60 0.42000
6923.50 0.42333
6924.00 0.42667
6926.40 0.43000
6928.50 0.43333
6938.80 0.43667
6939.20 0.44000
6947.40 0.44333
6949.40 0.44667
6950.60 0.45000
6950.80 0.45333
6952.40 0.45667
6952.80 0.46000
6956.40 0.46333
6959.70 0.46667
6960.30 0.47000
6963.40 0.47333
6964.80 0.47667
6965.40 0.48000
6969.40 0.48333
6969.50 0.48667
6970.90 0.49000
6970.90 0.49333
6972.10 0.49667
6972.40 0.50000
6972.90 0.50333
6979.90 0.50667
6979.90 0.51000
6983.90 0.51333
6984.10 0.51667
6986.40 0.52000
6987.10 0.52333
7002.60 0.52667
7004.90 0.53000
7006.20 0.53333
7007.50 0.53667
7009.40 0.54000
7009.80 0.54333
7011.20 0.54667
7013.40 0.55000
7014.10 0.55333
7017.10 0.55667
7019.20 0.56000
7028.80 0.56333
7037.70 0.56667
7039.20 0.57000
7041.20 0.57333
7043.80 0.57667
7045.40 0.58000
7045.40 0.58333
7050.40 0.58667
7065.80 0.59000
7066.40 0.59333
7071.60 0.59667
7076.50 0.60000
7076.90 0.60333
7080.10 0.60667
7087.40 0.61000
7087.80 0.61333
7087.80 0.61667
7092.00 0.62000
7097.00 0.62333
7098.10 0.62667
7101.50 0.63000
7103.10 0.63333
7110.00 0.63667
7112.90 0.64000
7121.10 0.64333
7123.70 0.64667
7124.40 0.65000
7124.50 0.65333
7126.70 0.65667
7129.60 0.66000
7133.10 0.66333
7145.60 0.66667
7147.80 0.67000
7163.10 0.67333
7199.70 0.67667
7216.50 0.68000
7224.20 0.68333
7224.30 0.68667
7227.40 0.69000
7230.00 0.69333
7253.50 0.69667
7272.30 0.70000
7278.20 0.70333
7282.70 0.70667
7283.20 0.71000
7291.20 0.71333
7294.90 0.71667
7319.30 0.72000
7325.10 0.72333
7340.40 0.72667
7378.50 0.73000
7386.20 0.73333
7398.30 0.73667
7398.90 0.74000
7418.70 0.74333
7444.50 0.74667
7447.90 0.75000
