latency_us ecdf
4481.80 0.00200
4483.80 0.00400
4484.40 0.00600
4487.70 0.00800
4501.50 0.01000
4505.30 0.01200
4505.40 0.01400
4508.40 0.01600
4510.90 0.01800
4524.90 0.02000
4529.30 0.02200
4535.80 0.02400
4542.10 0.02600
4549.00 0.02800
4555.10 0.03000
4558.10 0.03200
4558.80 0.03400
4562.20 0.03600
4565.20 0.03800
4569.20 0.04000
4569.20 0.04200
4573.80 0.04400
4583.60 0.04600
4583.90 0.04800
4585.70 0.05000
4586.00 0.05200
4586.20 0.05400
4588.70 0.05600
4588.80 0.05800
4591.10 0.06000
4594.50 0.06200
4599.00 0.06400
4606.10 0.06600
4608.40 0.06800
4609.00 0.07000
4612.90 0.07200
4616.70 0.07400
4617.20 0.07600
4623.10 0.07800
4627.10 0.08000
4634.50 0.08200
4637.20 0.08400
4638.90 0.08600
4640.10 0.08800
4644.60 0.09000
4654.60 0.09200
4657.70 0.09400
4659.20 0.09600
4660.40 0.09800
4662.00 0.10000
4671.00 0.10200
4671.20 0.10400
4671.80 0.10600
4678.80 0.10800
4679.80 0.11000
4680.80 0.11200
4682.80 0.11400
4688.00 0.11600
4697.10 0.11800
4698.50 0.12000
4704.90 0.12200
4706.30 0.12400
4708.90 0.12600
4709.00 0.12800
4717.50 0.13000
4722.50 0.13200
4723.60 0.13400
4724.40 0.13600
4731.20 0.13800
4732.30 0.14000
4732.80 0.14200
4735.90 0.14400
4739.30 0.14600
4742.70 0.14800
4744.10 0.15000
4753.30 0.15200
4761.90 0.15400
4762.10 0.15600
4769.90 0.15800
4770.40 0.16000
4773.40 0.16200
4783.40 0.16400
4785.90 0.16600
4786.90 0.16800
4787.20 0.17000
4789.10 0.17200
4797.50 0.17400
4798.10 0.17600
4799.50 0.17800
4800.60 0.18000
4803.60 0.18200
4805.30 0.18400
4805.80 0.18600
4811.80 0.18800
4824.00 0.19000
4828.80 0.19200
4830.40 0.19400
4834.10 0.19600
4835.00 0.19800
4854.90 0.20000
4857.90 0.20200
4858.60 0.20400
4873.90 0.20600
4875.40 0.20800
4876.20 0.21000
4879.00 0.21200
4881.70 0.21400
4884.00 0.21600
4902.10 0.21800
4906.00 0.22000
4918.20 0.22200
4925.80 0.22400
4927.10 0.22600
4937.30 0.22800
4948.30 0.23000
4955.90 0.23200
4965.90 0.23400
4967.80 0.23600
4968.40 0.23800
4968.60 0.24000
4975.50 0.24200
4980.40 0.24400
4982.00 0.24600
4986.80 0.24800
4995.30 0.25000
4995.90 0.25200
5004.70 0.25400
5005.40 0.25600
5007.10 0.25800
5011.40 0.26000
5035.20 0.26200
5044.20 0.26400
5046.70 0.26600
5051.30 0.26800
5053.60 0.27000
5055.00 0.27200
5076.70 0.27400
5078.70 0.27600
5079.90 0.27800
5085.50 0.28000
5086.70 0.28200
5094.00 0.28400
5095.90 0.28600
5097.50 0.28800
5100.20 0.29000
5111.60 0.29200
5114.00 0.29400
5114.70 0.29600
5131.20 0.29800
5137.50 0.30000
5138.00 0.30200
5150.40 0.30400
5151.10 0.30600
5162.50 0.30800
5168.20 0.31000
5172.80 0.31200
5184.80 0.31400
5192.20 0.31600
5199.40 0.31800
5225.20 0.32000
5233.60 0.32200
5251.50 0.32400
5255.20 0.32600
5266.10 0.32800
5266.80 0.33000
5284.00 0.33200
