latency_us ecdf
4244.20 0.00200
4251.90 0.00400
4255.40 0.00600
4256.80 0.00800
4261.00 0.01000
4261.20 0.01200
4262.50 0.01400
4263.60 0.01600
4268.40 0.01800
4268.80 0.02000
4268.80 0.02200
4270.20 0.02400
4270.20 0.02600
4271.20 0.02800
4271.30 0.03000
4271.30 0.03200
4271.50 0.03400
4272.00 0.03600
4272.00 0.03800
4272.30 0.04000
4272.30 0.04200
4272.40 0.04400
4272.70 0.04600
4272.80 0.04800
4273.00 0.05000
4273.80 0.05200
4273.90 0.05400
4274.20 0.05600
4274.40 0.05800
4274.40 0.06000
4274.50 0.06200
4275.60 0.06400
4275.80 0.06600
4275.80 0.06800
4276.10 0.07000
4276.20 0.07200
4276.40 0.07400
4276.70 0.07600
4277.10 0.07800
4277.30 0.08000
4277.40 0.08200
4277.40 0.08400
4277.40 0.08600
4277.40 0.08800
4277.50 0.09000
4277.70 0.09200
4278.00 0.09400
4278.20 0.09600
4278.30 0.09800
4278.70 0.10000
4278.80 0.10200
4279.00 0.10400
4279.70 0.10600
4280.20 0.10800
4280.30 0.11000
4280.80 0.11200
4281.10 0.11400
4281.60 0.11600
4281.70 0.11800
4282.20 0.12000
4282.90 0.12200
4283.00 0.12400
4283.10 0.12600
4283.20 0.12800
4283.50 0.13000
4283.70 0.13200
4285.40 0.13400
4287.10 0.13600
4289.30 0.13800
4293.20 0.14000
4294.10 0.14200
4294.10 0.14400
4295.60 0.14600
4296.40 0.14800
4296.60 0.15000
4297.40 0.15200
4297.60 0.15400
4299.00 0.15600
4299.00 0.15800
4300.20 0.16000
4301.10 0.16200
4301.90 0.16400
4302.00 0.16600
4302.40 0.16800
4302.40 0.17000
4303.30 0.17200
4304.20 0.17400
4304.60 0.17600
4305.10 0.17800
4305.40 0.18000
4306.60 0.18200
4307.20 0.18400
4307.40 0.18600
4308.50 0.18800
4308.50 0.19000
4308.60 0.19200
4309.40 0.19400
4309.70 0.19600
4310.00 0.19800
4310.10 0.20000
4310.10 0.20200
4310.60 0.20400
4310.90 0.20600
4311.10 0.20800
4311.20 0.21000
4311.30 0.21200
4311.70 0.21400
4311.80 0.21600
4312.00 0.21800
4312.30 0.22000
4313.00 0.22200
4313.40 0.22400
4313.50 0.22600
4313.50 0.22800
4314.00 0.23000
4314.30 0.23200
4314.50 0.23400
4315.60 0.23600
4315.60 0.23800
4315.80 0.24000
4315.90 0.24200
4315.90 0.24400
4316.10 0.24600
4316.80 0.24800
4316.90 0.25000
4318.70 0.25200
4319.60 0.25400
4320.70 0.25600
4320.80 0.25800
4321.90 0.26000
4324.90 0.26200
4325.20 0.26400
4325.20 0.26600
4325.80 0.26800
4326.40 0.27000
4328.60 0.27200
4329.10 0.27400
4329.90 0.27600
4332.70 0.27800
4333.60 0.28000
4333.90 0.28200
4334.60 0.28400
4334.90 0.28600
4334.90 0.28800
4335.80 0.29000
4335.80 0.29200
4336.50 0.29400
4336.80 0.29600
4337.50 0.29800
4338.00 0.30000
4338.50 0.30200
4339.40 0.30400
4339.80 0.30600
4339.90 0.30800
4340.60 0.31000
4340.70 0.31200
4341.40 0.31400
4341.80 0.31600
4343.00 0.31800
4343.00 0.32000
4343.50 0.32200
4344.90 0.32400
4345.30 0.32600
4345.40 0.32800
4345.50 0.33000
4345.70 0.33200
4346.90 0.33400
4346.90 0.33600
4347.50 0.33800
4348.30 0.34000
4350.30 0.34200
4351.20 0.34400
4351.30 0.34600
4351.70 0.34800
4353.40 0.35000
4353.40 0.35200
4353.70 0.35400
4355.50 0.35600
4356.50 0.35800
4357.80 0.36000
4358.90 0.36200
4359.70 0.36400
4360.00 0.36600
4361.60 0.36800
4361.80 0.37000
4363.20 0.37200
4365.20 0.37400
4365.30 0.37600
4367.50 0.37800
4368.20 0.38000
4369.30 0.38200
4369.80 0.38400
4370.40 0.38600
4371.40 0.38800
4372.20 0.39000
4372.30 0.39200
4372.30 0.39400
4372.80 0.39600
4374.50 0.39800
4375.90 0.40000
4377.60 0.40200
4377.70 0.40400
4379.40 0.40600
4380.70 0.40800
4381.60 0.41000
4382.10 0.41200
4384.00 0.41400
4384.00 0.41600
4384.90 0.41800
4385.10 0.42000
4385.50 0.42200
4385.60 0.42400
4386.30 0.42600
4390.00 0.42800
4390.00 0.43000
4394.10 0.43200
4395.20 0.43400
4395.40 0.43600
4395.70 0.43800
4395.90 0.44000
4397.00 0.44200
4397.40 0.44400
4397.60 0.44600
4398.10 0.44800
4398.20 0.45000
4399.10 0.45200
4401.20 0.45400
4402.20 0.45600
4403.10 0.45800
4403.40 0.46000
4403.50 0.46200
4404.80 0.46400
4404.90 0.46600
4406.60 0.46800
4406.90 0.47000
4407.90 0.47200
4408.00 0.47400
4410.30 0.47600
4411.10 0.47800
4412.40 0.48000
4415.60 0.48200
4415.80 0.48400
4416.10 0.48600
4416.90 0.48800
4417.70 0.49000
4418.20 0.49200
4418.30 0.49400
4419.90 0.49600
4421.20 0.49800
4422.10 0.50000
4424.30 0.50200
4425.30 0.50400
4425.50 0.50600
4429.40 0.50800
4429.70 0.51000
4430.00 0.51200
4430.30 0.51400
4431.00 0.51600
4431.30 0.51800
4431.50 0.52000
4435.20 0.52200
4437.40 0.52400
4439.40 0.52600
4440.40 0.52800
4440.60 0.53000
4440.60 0.53200
4441.30 0.53400
4441.30 0.53600
4442.80 0.53800
4446.30 0.54000
4447.90 0.54200
4450.60 0.54400
4451.00 0.54600
4453.50 0.54800
4453.70 0.55000
4454.70 0.55200
4454.90 0.55400
4458.20 0.55600
4460.80 0.55800
4462.00 0.56000
4462.90 0.56200
4466.30 0.56400
4466.50 0.56600
4467.40 0.56800
