latency_us exceedance
2090.33 1.000000e-01
2166.47 7.703066e-02
2245.37 6.059157e-02
2327.15 4.848907e-02
2411.91 3.936792e-02
2499.75 3.235662e-02
2590.79 2.687553e-02
2685.15 2.252789e-02
2782.95 1.903531e-02
2884.30 1.619821e-02
2989.35 1.387073e-02
3098.23 1.194449e-02
3211.07 1.033771e-02
3328.02 8.987885e-03
3449.23 7.846627e-03
3574.85 6.876071e-03
3705.05 6.046287e-03
3839.99 5.333400e-03
3979.85 4.718202e-03
4124.80 4.185119e-03
4275.03 3.721436e-03
4430.73 3.316699e-03
4592.10 2.962262e-03
4759.35 2.650932e-03
4932.69 2.376696e-03
5112.34 2.134496e-03
5298.54 1.920064e-03
5491.51 1.729780e-03
5691.52 1.560558e-03
5898.81 1.409763e-03
6113.65 1.275131e-03
6336.31 1.154716e-03
6567.09 1.046832e-03
6806.27 9.500226e-04
7054.16 8.630196e-04
7311.08 7.847185e-04
7577.35 7.141540e-04
7853.32 6.504806e-04
8139.35 5.929559e-04
8435.79 5.409266e-04
8743.03 4.938165e-04
9061.46 4.511166e-04
9391.49 4.123758e-04
9733.53 3.771944e-04
10088.04 3.452168e-04
10455.45 3.161268e-04
10836.25 2.896423e-04
11230.92 2.655113e-04
11639.96 2.435086e-04
12063.89 2.234325e-04
12503.27 2.051021e-04
12958.65 1.883548e-04
13430.62 1.730447e-04
13919.77 1.590403e-04
14426.74 1.462231e-04
14952.18 1.344861e-04
15496.75 1.237330e-04
16061.15 1.138764e-04
16646.12 1.048373e-04
17252.38 9.654432e-05
17880.73 8.893253e-05
18531.96 8.194313e-05
19206.91 7.552271e-05
19906.44 6.962272e-05
20631.45 6.419903e-05
21382.87 5.921145e-05
22161.65 5.462340e-05
22968.80 5.040152e-05
23805.35 4.651539e-05
24672.36 4.293727e-05
25570.95 3.964181e-05
26502.26 3.660586e-05
27467.50 3.380826e-05
28467.89 3.122965e-05
29504.72 2.885231e-05
30579.30 2.666003e-05
31693.03 2.463795e-05
32847.32 2.277247e-05
34043.65 2.105110e-05
35283.55 1.946240e-05
36568.60 1.799586e-05
37900.47 1.664184e-05
39280.83 1.539150e-05
40711.48 1.423669e-05
42194.23 1.316994e-05
43730.98 1.218439e-05
45323.70 1.127372e-05
46974.43 1.043211e-05
48685.28 9.654225e-06
50458.44 8.935139e-06
52296.18 8.270322e-06
54200.85 7.655603e-06
56174.90 7.087138e-06
58220.84 6.561386e-06
60341.29 6.075084e-06
62538.98 5.625224e-06
64816.70 5.209032e-06
67177.38 4.823950e-06
69624.04 4.467619e-06
72159.81 4.137861e-06
74787.94 3.832669e-06
77511.78 3.550188e-06
80334.83 3.288706e-06
83260.69 3.046644e-06
86293.12 2.822541e-06
89436.00 2.615050e-06
92693.33 2.422927e-06
96069.31 2.245020e-06
99568.24 2.080268e-06
103194.60 1.927687e-06
106953.04 1.786370e-06
110848.37 1.655478e-06
114885.56 1.534234e-06
119069.80 1.421922e-06
123406.43 1.317877e-06
127901.00 1.221487e-06
132559.27 1.132184e-06
137387.19 1.049443e-06
142390.96 9.727781e-07
147576.96 9.017401e-07
