latency_us exceedance
1081.00 9.990010e-01
1092.70 9.980020e-01
1105.20 9.970030e-01
1116.90 9.960040e-01
1152.60 9.950050e-01
1153.50 9.940060e-01
1155.60 9.930070e-01
1157.80 9.920080e-01
1182.80 9.910090e-01
1217.50 9.900100e-01
1218.30 9.890110e-01
1229.10 9.880120e-01
1250.30 9.870130e-01
1292.80 9.860140e-01
1309.40 9.850150e-01
1333.40 9.840160e-01
1340.70 9.830170e-01
1346.90 9.820180e-01
1362.40 9.810190e-01
1370.60 9.800200e-01
1371.50 9.790210e-01
1376.50 9.780220e-01
1387.30 9.770230e-01
1390.40 9.760240e-01
1391.00 9.750250e-01
1391.40 9.740260e-01
1399.60 9.730270e-01
1400.10 9.720280e-01
1401.10 9.710290e-01
1404.50 9.700300e-01
1404.70 9.690310e-01
1408.00 9.680320e-01
1408.60 9.670330e-01
1409.00 9.660340e-01
1410.80 9.650350e-01
1412.20 9.640360e-01
1413.20 9.630370e-01
1413.80 9.620380e-01
1414.50 9.610390e-01
1415.70 9.600400e-01
1415.80 9.590410e-01
1419.10 9.580420e-01
1419.40 9.570430e-01
1420.30 9.560440e-01
1420.60 9.550450e-01
1421.10 9.540460e-01
1422.00 9.530470e-01
1423.10 9.520480e-01
1424.40 9.510490e-01
1424.80 9.500500e-01
1426.80 9.490509e-01
1427.30 9.480519e-01
1427.40 9.470529e-01
1429.20 9.460539e-01
1431.80 9.450549e-01
1432.90 9.440559e-01
1433.20 9.430569e-01
1433.50 9.420579e-01
1433.60 9.410589e-01
1434.30 9.400599e-01
1435.20 9.390609e-01
1436.20 9.380619e-01
1437.40 9.370629e-01
1437.90 9.360639e-01
1438.10 9.350649e-01
1438.50 9.340659e-01
1439.00 9.330669e-01
1439.20 9.320679e-01
1439.30 9.310689e-01
1439.90 9.300699e-01
1440.60 9.290709e-01
1441.10 9.280719e-01
1441.50 9.270729e-01
1441.90 9.260739e-01
1444.90 9.250749e-01
1445.20 9.240759e-01
1445.60 9.230769e-01
1446.80 9.220779e-01
1446.90 9.210789e-01
1447.20 9.200799e-01
1448.30 9.190809e-01
1448.50 9.180819e-01
1448.60 9.170829e-01
1448.80 9.160839e-01
1449.10 9.150849e-01
1449.90 9.140859e-01
1451.00 9.130869e-01
1451.20 9.120879e-01
1451.20 9.110889e-01
1451.50 9.100899e-01
1451.50 9.090909e-01
1451.80 9.080919e-01
1452.10 9.070929e-01
1453.00 9.060939e-01
1453.30 9.050949e-01
1453.40 9.040959e-01
1453.70 9.030969e-01
1453.80 9.020979e-01
1453.90 9.010989e-01
1454.50 9.000999e-01
1454.50 8.991009e-01
1456.20 8.981019e-01
1456.70 8.971029e-01
1457.70 8.961039e-01
1457.80 8.951049e-01
1458.20 8.941059e-01
1458.40 8.931069e-01
1458.40 8.921079e-01
1458.50 8.911089e-01
1459.70 8.901099e-01
1460.70 8.891109e-01
1461.00 8.881119e-01
1461.80 8.871129e-01
1462.90 8.861139e-01
1463.10 8.851149e-01
1463.20 8.841159e-01
1463.90 8.831169e-01
1464.20 8.821179e-01
1464.30 8.811189e-01
1464.30 8.801199e-01
1464.40 8.791209e-01
1464.70 8.781219e-01
1465.20 8.771229e-01
1465.50 8.761239e-01
1465.60 8.751249e-01
1465.70 8.741259e-01
1466.20 8.731269e-01
1466.30 8.721279e-01
1467.90 8.711289e-01
1468.80 8.701299e-01
1469.00 8.691309e-01
1469.00 8.681319e-01
1469.60 8.671329e-01
1469.70 8.661339e-01
1470.90 8.651349e-01
1471.50 8.641359e-01
1471.60 8.631369e-01
1471.80 8.621379e-01
1472.10 8.611389e-01
1472.50 8.601399e-01
1473.50 8.591409e-01
1474.10 8.581419e-01
1474.20 8.571429e-01
1474.90 8.561439e-01
1475.20 8.551449e-01
1475.60 8.541459e-01
1476.70 8.531469e-01
1476.90 8.521479e-01
1477.10 8.511489e-01
1477.10 8.501499e-01
1477.20 8.491508e-01
