latency_us exceedance
797.75 1.000000e-01
820.19 9.178091e-02
843.26 8.420211e-02
866.98 7.721738e-02
891.37 7.078349e-02
916.45 6.485998e-02
942.23 5.940908e-02
968.73 5.439553e-02
995.98 4.978645e-02
1024.00 4.555118e-02
1052.80 4.166120e-02
1082.42 3.808998e-02
1112.87 3.481285e-02
1144.17 3.180688e-02
1176.36 2.905081e-02
1209.45 2.652493e-02
1243.47 2.421094e-02
1278.45 2.209193e-02
1314.41 2.015221e-02
1351.39 1.837730e-02
1389.40 1.675381e-02
1428.48 1.526936e-02
1468.67 1.391254e-02
1509.98 1.267280e-02
1552.46 1.154043e-02
1596.13 1.050648e-02
1641.03 9.562711e-03
1687.19 8.701530e-03
1734.65 7.915957e-03
1783.45 7.199576e-03
1833.61 6.546489e-03
1885.19 5.951277e-03
1938.22 5.408970e-03
1992.75 4.915002e-03
2048.80 4.465189e-03
2106.44 4.055693e-03
2165.69 3.682999e-03
2226.61 3.343885e-03
2289.25 3.035404e-03
2353.64 2.754856e-03
2419.85 2.499773e-03
2487.92 2.267897e-03
2557.91 2.057166e-03
2629.86 1.865692e-03
2703.84 1.691755e-03
2779.90 1.533781e-03
2858.09 1.390335e-03
2938.49 1.260107e-03
3021.15 1.141902e-03
3106.14 1.034631e-03
3193.51 9.373000e-04
3283.35 8.490048e-04
3375.71 7.689206e-04
3470.67 6.962964e-04
3568.30 6.304483e-04
3668.67 5.707540e-04
3771.87 5.166472e-04
3877.98 4.676124e-04
3987.06 4.231810e-04
4099.22 3.829269e-04
4214.53 3.464626e-04
4333.08 3.134360e-04
4454.97 2.835271e-04
4580.29 2.564453e-04
4709.14 2.319266e-04
4841.60 2.097312e-04
4977.80 1.896414e-04
5117.82 1.714598e-04
5261.79 1.550071e-04
5409.80 1.401204e-04
5561.98 1.266524e-04
5718.44 1.144692e-04
5879.30 1.034492e-04
6044.68 9.348265e-05
6214.72 8.446960e-05
6389.54 7.631966e-05
6569.28 6.895090e-05
6754.07 6.228906e-05
6944.07 5.626687e-05
7139.40 5.082340e-05
7340.23 4.590346e-05
7546.71 4.145707e-05
7759.00 3.743898e-05
7977.27 3.380823e-05
8201.67 3.052773e-05
8432.38 2.756392e-05
8669.58 2.488642e-05
8913.46 2.246775e-05
9164.19 2.028304e-05
9421.98 1.830980e-05
9687.02 1.652767e-05
9959.52 1.491825e-05
10239.68 1.346489e-05
10527.72 1.215254e-05
10823.87 1.096759e-05
11128.34 9.897728e-06
11441.38 8.931839e-06
11763.23 8.059863e-06
12094.13 7.272711e-06
12434.34 6.562168e-06
12784.12 5.920812e-06
13143.73 5.341933e-06
13513.47 4.819472e-06
13893.60 4.347950e-06
14284.43 3.922422e-06
14686.25 3.538418e-06
15099.37 3.191900e-06
15524.12 2.879223e-06
15960.81 2.597093e-06
16409.79 2.342536e-06
16871.40 2.112866e-06
17345.99 1.905658e-06
17833.93 1.718721e-06
18335.60 1.550079e-06
18851.38 1.397947e-06
19381.67 1.260712e-06
19926.88 1.136921e-06
20487.42 1.025259e-06
21063.73 9.245416e-07
21656.26 8.336987e-07
